frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
aspcore-ado-my,0.88ms,2.04ms,41.91ms,14755203.0,1697042174,1697042189,,,,,
aspcore-ado-my,0.97ms,2.16ms,44.89ms,13052393.0,1697042191,1697042206,,,,,
aspcore-ado-my,0.92ms,1.82ms,48.80ms,11586749.0,1697042208,1697042223,,,,,
aspcore-ado-my,1.07ms,1.01ms,32.82ms,7900753.0,1697042225,1697042240,,,,,
aspcore-ado-my,2.83ms,11.08ms,279.16ms,5195084.0,1697042242,1697042258,,,,,
aspcore-ado-pg,813.84us,1.85ms,37.97ms,14896578.0,1697042801,1697042817,,,,,
aspcore-ado-pg,849.58us,1.82ms,48.70ms,13112553.0,1697042819,1697042834,,,,,
aspcore-ado-pg,0.90ms,1.76ms,47.93ms,11637388.0,1697042836,1697042851,,,,,
aspcore-ado-pg,1.06ms,0.95ms,31.49ms,7906915.0,1697042853,1697042868,,,,,
aspcore-ado-pg,2.79ms,10.73ms,287.09ms,5194952.0,1697042870,1697042885,,,,,
aspcore-aot-ado-pg,731.69us,1.57ms,39.05ms,14667541.0,1697045327,1697045342,,,,,
aspcore-aot-ado-pg,807.41us,1.61ms,37.02ms,12661967.0,1697045344,1697045359,,,,,
aspcore-aot-ado-pg,0.92ms,1.74ms,44.56ms,11172410.0,1697045361,1697045377,,,,,
aspcore-aot-ado-pg,1.12ms,1.41ms,41.31ms,7789910.0,1697045379,1697045394,,,,,
aspcore-aot-ado-pg,1.58ms,1.30ms,57.06ms,5192255.0,1697045396,1697045411,,,,,
aspcore-mono-pg,,,,,1697050353,1697050353,,,,,
aspcore-mono-pg,,,,,1697050355,1697050355,,,,,
aspcore-mono-pg,,,,,1697050357,1697050357,,,,,
aspcore-mono-pg,,,,,1697050359,1697050359,,,,,
aspcore-mono-pg,,,,,1697050361,1697050361,,,,,
http4k-ratpack,4.20ms,6.39ms,64.72ms,5925178.0,1697237720,1697237735,,,,,
http4k-ratpack,4.46ms,6.69ms,84.39ms,5085733.0,1697237737,1697237753,,,,,
http4k-ratpack,4.55ms,6.50ms,96.45ms,4216018.0,1697237755,1697237770,,,,,
http4k-ratpack,5.82ms,7.32ms,84.87ms,2427340.0,1697237772,1697237787,,,,,
http4k-ratpack,8.80ms,8.41ms,91.05ms,1088466.0,1697237789,1697237804,,,,,
officefloor-spring_data,363.82ms,1.07s,7.77s,245547.0,1697363855,1697363870,,,,,
officefloor-spring_data,379.24ms,1.10s,7.96s,233913.0,1697363872,1697363887,0.0,0.0,0.0,5.0,
officefloor-spring_data,374.80ms,1.10s,7.99s,222852.0,1697363889,1697363904,0.0,0.0,0.0,17.0,
officefloor-spring_data,357.70ms,1.07s,8.00s,194264.0,1697363906,1697363921,0.0,0.0,0.0,48.0,
officefloor-spring_data,335.25ms,1.02s,7.98s,160287.0,1697363923,1697363939,0.0,0.0,0.0,89.0,
officefloor-vertx,27.14ms,1.50ms,51.17ms,279279.0,1697367876,1697367891,,,,,
officefloor-vertx,29.24ms,1.70ms,48.62ms,259050.0,1697367893,1697367909,,,,,
officefloor-vertx,30.72ms,1.71ms,66.92ms,246636.0,1697367911,1697367926,,,,,
officefloor-vertx,35.36ms,2.30ms,71.94ms,214330.0,1697367928,1697367943,,,,,
officefloor-vertx,44.11ms,2.01ms,88.21ms,171736.0,1697367945,1697367960,,,,,
vertx-postgres,523.86us,0.98ms,28.69ms,16309845.0,1697550406,1697550421,,,,,
vertx-postgres,1.02ms,1.41ms,29.03ms,8819288.0,1697550423,1697550438,,,,,
vertx-postgres,1.44ms,1.48ms,36.88ms,5977081.0,1697550440,1697550456,,,,,
vertx-postgres,2.01ms,1.72ms,37.54ms,4176571.0,1697550458,1697550473,,,,,
vertx-postgres,2.95ms,1.85ms,33.19ms,2724861.0,1697550475,1697550490,,,,,
