frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
appmpower-ado-pg,838.02us,1.67ms,44.41ms,12165325.0,1697037679,1697037694,,,,,
appmpower-ado-pg,0.85ms,1.30ms,48.65ms,10536404.0,1697037696,1697037711,,,,,
appmpower-ado-pg,1.00ms,1.51ms,48.90ms,9167842.0,1697037713,1697037728,,,,,
appmpower-ado-pg,1.29ms,1.27ms,45.28ms,6453020.0,1697037730,1697037745,,,,,
appmpower-ado-pg,1.76ms,1.10ms,48.46ms,4515307.0,1697037747,1697037762,,,,,
appmpower-odbc-my,1.81ms,3.85ms,68.11ms,11885315.0,1697038810,1697038825,,,,,
appmpower-odbc-my,1.58ms,3.15ms,76.59ms,8764128.0,1697038827,1697038842,,,,,
appmpower-odbc-my,1.58ms,1.92ms,52.98ms,5726829.0,1697038844,1697038859,,,,,
appmpower-odbc-my,2.90ms,1.54ms,65.61ms,2700093.0,1697038861,1697038876,,,,,
appmpower-odbc-my,5.12ms,2.30ms,64.05ms,1519362.0,1697038878,1697038893,,,,,
appmpower-odbc-pg,1.63ms,3.59ms,88.43ms,11525321.0,1697039923,1697039938,,,,,
appmpower-odbc-pg,1.58ms,3.47ms,88.25ms,9708611.0,1697039940,1697039955,,,,,
appmpower-odbc-pg,1.46ms,2.59ms,80.82ms,7416396.0,1697039957,1697039972,,,,,
appmpower-odbc-pg,2.11ms,1.51ms,52.55ms,3801167.0,1697039974,1697039989,,,,,
appmpower-odbc-pg,3.87ms,2.95ms,62.84ms,2174370.0,1697039991,1697040006,,,,,
aspcore-ado-my,0.88ms,2.04ms,41.91ms,14755203.0,1697042174,1697042189,,,,,
aspcore-ado-my,0.97ms,2.16ms,44.89ms,13052393.0,1697042191,1697042206,,,,,
aspcore-ado-my,0.92ms,1.82ms,48.80ms,11586749.0,1697042208,1697042223,,,,,
aspcore-ado-my,1.07ms,1.01ms,32.82ms,7900753.0,1697042225,1697042240,,,,,
aspcore-ado-my,2.83ms,11.08ms,279.16ms,5195084.0,1697042242,1697042258,,,,,
aspcore-ado-pg,813.84us,1.85ms,37.97ms,14896578.0,1697042801,1697042817,,,,,
aspcore-ado-pg,849.58us,1.82ms,48.70ms,13112553.0,1697042819,1697042834,,,,,
aspcore-ado-pg,0.90ms,1.76ms,47.93ms,11637388.0,1697042836,1697042851,,,,,
aspcore-ado-pg,1.06ms,0.95ms,31.49ms,7906915.0,1697042853,1697042868,,,,,
aspcore-ado-pg,2.79ms,10.73ms,287.09ms,5194952.0,1697042870,1697042885,,,,,
aspcore-aot-ado-pg,731.69us,1.57ms,39.05ms,14667541.0,1697045327,1697045342,,,,,
aspcore-aot-ado-pg,807.41us,1.61ms,37.02ms,12661967.0,1697045344,1697045359,,,,,
