frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
aspcore-ado-my,785.30us,3.28ms,43.86ms,661599,1697041674,1697041689,,,,,
aspcore-ado-my,797.29us,2.95ms,36.40ms,1095034,1697041691,1697041706,,,,,
aspcore-ado-my,0.97ms,3.29ms,31.75ms,2569285,1697041708,1697041723,,,,,
aspcore-ado-my,1.32ms,3.68ms,33.29ms,3564342,1697041725,1697041740,,,,,
aspcore-ado-my,1.93ms,3.93ms,74.51ms,3755660,1697041742,1697041757,,,,,
aspcore-ado-my,3.03ms,4.39ms,59.47ms,3744978,1697041759,1697041774,,,,,
aspcore-ado-pg,334.65us,223.85us,8.28ms,723903,1697042418,1697042433,,,,,
aspcore-ado-pg,361.80us,192.05us,9.94ms,1160506,1697042435,1697042450,,,,,
aspcore-ado-pg,422.58us,271.72us,9.70ms,2018369,1697042452,1697042467,,,,,
aspcore-ado-pg,553.18us,634.77us,17.90ms,3371772,1697042469,1697042484,,,,,
aspcore-ado-pg,826.70us,0.96ms,19.96ms,5185526,1697042486,1697042501,,,,,
aspcore-ado-pg,1.37ms,0.94ms,20.71ms,5890644,1697042503,1697042519,,,,,
aspcore-aot-ado-pg,350.16us,189.08us,8.74ms,687423,1697044943,1697044958,,,,,
aspcore-aot-ado-pg,372.10us,155.31us,6.09ms,1123885,1697044960,1697044975,,,,,
aspcore-aot-ado-pg,423.35us,211.17us,7.66ms,1991941,1697044977,1697044993,,,,,
aspcore-aot-ado-pg,529.75us,444.42us,11.91ms,3343721,1697044995,1697045010,,,,,
aspcore-aot-ado-pg,810.39us,700.44us,22.06ms,5028624,1697045012,1697045027,,,,,
aspcore-aot-ado-pg,1.39ms,0.85ms,23.85ms,5720767,1697045029,1697045044,,,,,
aspcore-mono-mvc-pg,636.51us,613.35us,18.84ms,442775,1697047696,1697047711,,,,,
aspcore-mono-mvc-pg,0.86ms,0.90ms,17.90ms,607109,1697047713,1697047728,,,,,
aspcore-mono-mvc-pg,1.48ms,1.68ms,28.61ms,722584,1697047730,1697047746,,,,,
aspcore-mono-mvc-pg,2.52ms,2.29ms,45.46ms,730883,1697047748,1697047763,,,,,
aspcore-mono-mvc-pg,10.56ms,6.42ms,76.34ms,366188,1697047765,1697047780,,,,,
aspcore-mono-mvc-pg,34.80ms,14.07ms,242.82ms,220285,1697047782,1697047797,,,,,
aspcore-mono-mw-pg,453.14us,355.28us,12.70ms,579072,1697049176,1697049191,,,,,
aspcore-mono-mw-pg,599.94us,654.38us,17.87ms,815781,1697049193,1697049208,,,,,
