frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
act-eclipselink-mysql,1.24ms,3.98ms,50.48ms,377643,1697013053,1697013068,,,,,
act-eclipselink-mysql,655.84us,552.43us,11.85ms,683167,1697013070,1697013085,,,,,
act-eclipselink-mysql,522.47us,477.47us,10.19ms,1748508,1697013087,1697013102,,,,,
act-eclipselink-mysql,1.20ms,1.24ms,24.28ms,1664129,1697013104,1697013119,,,,,
act-eclipselink-mysql,4.80ms,5.37ms,81.81ms,1087769,1697013121,1697013136,,,,,
act-eclipselink-mysql,8.45ms,8.45ms,97.14ms,1110752,1697013138,1697013154,,,,,
act-hibernate-pgsql,459.49us,553.92us,9.66ms,574329,1697017483,1697017498,,,,,
act-hibernate-pgsql,436.86us,479.33us,8.88ms,1050228,1697017500,1697017515,,,,,
act-hibernate-pgsql,448.95us,1.10ms,24.55ms,2651255,1697017517,1697017532,,,,,
act-hibernate-pgsql,1.13ms,2.18ms,39.23ms,2815382,1697017534,1697017549,,,,,
act-hibernate-pgsql,1.92ms,2.95ms,98.67ms,3267847,1697017551,1697017567,,,,,
act-hibernate-pgsql,3.63ms,5.41ms,115.72ms,3474626,1697017569,1697017584,,,,,
actix-http,334.14us,33.14us,7.39ms,706755,1697019543,1697019558,,,,,
actix-http,350.48us,40.58us,5.19ms,1177585,1697019560,1697019575,,,,,
actix-http,205.40us,30.47us,2.04ms,4028979,1697019577,1697019592,,,,,
actix-http,284.70us,62.42us,4.04ms,5847432,1697019594,1697019609,,,,,
actix-http,596.56us,111.79us,4.71ms,6322128,1697019611,1697019627,,,,,
actix-http,1.18ms,215.94us,6.10ms,6440649,1697019629,1697019644,,,,,
actix-web-diesel,422.65us,41.64us,4.48ms,561486,1697021194,1697021209,,,,,
actix-web-diesel,374.57us,57.16us,4.49ms,1104646,1697021211,1697021226,,,,,
actix-web-diesel,379.98us,114.03us,11.87ms,2190800,1697021228,1697021243,,,,,
actix-web-diesel,730.25us,158.07us,15.20ms,2296398,1697021245,1697021260,,,,,
actix-web-diesel,1.43ms,390.50us,14.92ms,2643118,1697021262,1697021278,,,,,
actix-web-diesel,2.61ms,842.49us,19.15ms,2908843,1697021280,1697021295,,,,,
actix-web-mongodb,800.79us,75.05us,1.58ms,298152,1697022259,1697022274,,,,,
actix-web-mongodb,1.05ms,109.07us,4.27ms,398408,1697022276,1697022291,,,,,
actix-web-mongodb,2.10ms,151.91us,3.21ms,398136,1697022293,1697022308,,,,,
actix-web-mongodb,4.19ms,334.06us,8.41ms,400938,1697022310,1697022326,,,,,
actix-web-mongodb,9.46ms,688.42us,10.92ms,399373,1697022328,1697022343,,,,,
actix-web-mongodb,19.10ms,1.22ms,22.51ms,396729,1697022345,1697022360,,,,,
actix-web-pg-deadpool,843.30us,74.23us,4.90ms,283400,1697023137,1697023152,,,,,
actix-web-pg-deadpool,553.55us,77.26us,2.89ms,752419,1697023154,1697023169,,,,,
actix-web-pg-deadpool,582.34us,87.89us,3.81ms,1429125,1697023171,1697023186,,,,,
actix-web-pg-deadpool,1.18ms,107.97us,5.47ms,1425398,1697023188,1697023203,,,,,
actix-web-pg-deadpool,2.66ms,177.74us,13.24ms,1421866,1697023205,1697023221,,,,,
actix-web-pg-deadpool,5.47ms,310.38us,12.20ms,1388476,1697023223,1697023238,,,,,
agoo,832.89us,329.48us,10.91ms,290553,1697023830,1697023846,,,,,
agoo,688.64us,172.02us,6.83ms,609779,1697023848,1697023863,,,,,
agoo,0.94ms,315.70us,10.23ms,892148,1697023865,1697023880,,,,,
agoo,1.81ms,0.89ms,12.59ms,952549,1697023882,1697023897,,,,,
agoo,4.00ms,1.51ms,12.49ms,953551,1697023899,1697023914,,,,,
agoo,7.84ms,2.30ms,16.27ms,966846,1697023916,1697023931,,,,,
aiohttp,2.57ms,591.65us,9.00ms,93081,1697024737,1697024752,,,,,
aiohttp,3.35ms,1.02ms,9.66ms,124988,1697024754,1697024769,,,,,
aiohttp,4.27ms,1.67ms,18.11ms,196338,1697024771,1697024786,,,,,
aiohttp,7.73ms,2.28ms,22.10ms,217411,1697024788,1697024803,,,,,
aiohttp,16.75ms,9.01ms,157.27ms,232639,1697024805,1697024821,,,,,
aiohttp,32.70ms,13.86ms,244.83ms,233887,1697024823,1697024838,,,,,
aiohttp-pg-raw,1.26ms,233.60us,4.97ms,189184,1697025513,1697025529,,,,,
aiohttp-pg-raw,1.37ms,328.67us,11.94ms,304462,1697025531,1697025546,,,,,
aiohttp-pg-raw,1.41ms,387.59us,13.56ms,593703,1697025548,1697025563,,,,,
aiohttp-pg-raw,2.19ms,719.77us,18.98ms,767339,1697025565,1697025580,,,,,
aiohttp-pg-raw,4.53ms,1.29ms,22.48ms,839083,1697025582,1697025597,,,,,
aiohttp-pg-raw,8.55ms,2.31ms,39.68ms,887164,1697025599,1697025614,,,,,
aioworkers,2.04ms,528.26us,18.30ms,15467,1697026206,1697026221,0.0,0.0,0.0,7.0,
aioworkers,496.85ms,1.49s,7.49s,175064,1697026223,1697026238,0.0,0.0,0.0,3.0,
aioworkers,138.07ms,745.22ms,6.29s,369719,1697026240,1697026255,0.0,0.0,0.0,1.0,
aioworkers,10.74ms,197.27ms,6.10s,794130,1697026257,1697026273,0.0,0.0,0.0,5.0,
aioworkers,5.04ms,38.31ms,943.16ms,1016928,1697026275,1697026290,0.0,0.0,0.0,71.0,
aioworkers,45.36ms,386.96ms,5.79s,1237638,1697026292,1697026307,0.0,0.0,0.0,24.0,
akka-http,496.62us,183.13us,6.58ms,484914,1697027344,1697027359,,,,,
akka-http,551.41us,345.87us,15.93ms,776804,1697027361,1697027376,,,,,
akka-http,1.01ms,1.50ms,24.29ms,1327081,1697027378,1697027394,,,,,
akka-http,1.20ms,2.33ms,85.51ms,1993058,1697027396,1697027411,,,,,
