frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
aspcore-ado-my,581.99us,1.71ms,36.59ms,585155.0,1697042040,1697042055,,,,,
aspcore-ado-my,645.50us,1.71ms,26.88ms,950768.0,1697042057,1697042072,,,,,
aspcore-ado-my,0.88ms,2.65ms,31.24ms,2247246.0,1697042074,1697042090,,,,,
aspcore-ado-my,1.12ms,2.52ms,27.25ms,2616651.0,1697042092,1697042107,,,,,
aspcore-ado-my,2.08ms,3.09ms,72.78ms,2794181.0,1697042109,1697042124,,,,,
aspcore-ado-my,3.67ms,4.67ms,156.24ms,2912387.0,1697042126,1697042141,,,,,
aspcore-ado-pg,354.55us,223.56us,12.22ms,680790.0,1697042668,1697042683,,,,,
aspcore-ado-pg,382.97us,149.49us,5.76ms,1093038.0,1697042685,1697042700,,,,,
aspcore-ado-pg,453.45us,279.17us,8.21ms,1885437.0,1697042702,1697042717,,,,,
aspcore-ado-pg,569.28us,692.17us,16.38ms,3021366.0,1697042719,1697042734,,,,,
aspcore-ado-pg,0.86ms,0.94ms,17.98ms,4914376.0,1697042736,1697042752,,,,,
aspcore-ado-pg,1.50ms,1.13ms,20.90ms,5450174.0,1697042754,1697042769,,,,,
aspcore-aot-ado-pg,378.39us,166.33us,7.00ms,635308.0,1697045193,1697045209,,,,,
aspcore-aot-ado-pg,397.03us,186.02us,8.01ms,1059600.0,1697045211,1697045226,,,,,
aspcore-aot-ado-pg,456.10us,230.74us,6.91ms,1857304.0,1697045228,1697045243,,,,,
aspcore-aot-ado-pg,540.46us,459.29us,12.86ms,3109811.0,1697045245,1697045260,,,,,
aspcore-aot-ado-pg,0.86ms,801.04us,17.37ms,4817978.0,1697045262,1697045277,,,,,
aspcore-aot-ado-pg,1.55ms,1.09ms,21.11ms,5260688.0,1697045279,1697045294,,,,,
aspcore-mono-mvc-pg,1.04ms,0.97ms,18.93ms,280035.0,1697048063,1697048078,,,,,
aspcore-mono-mvc-pg,1.37ms,1.30ms,18.32ms,368885.0,1697048080,1697048095,,,,,
aspcore-mono-mvc-pg,2.34ms,2.04ms,21.37ms,392869.0,1697048097,1697048112,,,,,
aspcore-mono-mvc-pg,8.15ms,5.55ms,32.86ms,209361.0,1697048114,1697048129,,,,,
aspcore-mono-mvc-pg,27.66ms,8.25ms,127.83ms,136791.0,1697048131,1697048146,,,,,
aspcore-mono-mvc-pg,64.69ms,18.67ms,489.87ms,117596.0,1697048148,1697048163,,,,,
aspcore-mono-mw-pg,581.37us,522.94us,15.25ms,463517.0,1697049542,1697049557,,,,,
aspcore-mono-mw-pg,0.86ms,1.01ms,21.07ms,626811.0,1697049559,1697049574,,,,,
aspcore-mono-mw-pg,2.15ms,2.60ms,32.37ms,576785.0,1697049576,1697049592,,,,,
aspcore-mono-mw-pg,3.88ms,3.91ms,29.95ms,537502.0,1697049594,1697049609,,,,,
aspcore-mono-mw-pg,7.25ms,5.06ms,71.31ms,554282.0,1697049611,1697049626,,,,,
aspcore-mono-mw-pg,26.82ms,9.57ms,154.68ms,283593.0,1697049628,1697049643,,,,,
aspcore-mono-pg,575.16us,366.30us,8.76ms,445490.0,1697050270,1697050285,,,,,
aspcore-mono-pg,624.95us,401.56us,7.66ms,711566.0,1697050287,1697050302,,,,,
aspcore-mono-pg,1.03ms,0.98ms,18.57ms,947632.0,1697050304,1697050319,,,,,
aspcore-mono-pg,1.63ms,1.77ms,19.26ms,407276.0,1697050321,1697050336,0.0,132.0,4265885.0,0.0,
aspcore-mono-pg,,,,,1697050338,1697050338,,,,,
aspcore-mono-pg,,,,,1697050340,1697050340,,,,,
aspcore-mvc-ado-my,581.41us,0.86ms,16.27ms,487385.0,1697051232,1697051247,,,,,
aspcore-mvc-ado-my,655.77us,0.98ms,14.85ms,780948.0,1697051249,1697051264,,,,,
aspcore-mvc-ado-my,0.92ms,1.92ms,32.31ms,1589279.0,1697051266,1697051281,,,,,
aspcore-mvc-ado-my,1.38ms,2.12ms,24.74ms,1757922.0,1697051283,1697051299,,,,,
aspcore-mvc-ado-my,2.54ms,2.35ms,39.51ms,1766300.0,1697051301,1697051316,,,,,
aspcore-mvc-ado-my,4.81ms,3.16ms,41.06ms,1699214.0,1697051318,1697051333,,,,,
aspcore-mvc-ado-pg,433.82us,188.95us,6.35ms,559236.0,1697051735,1697051750,,,,,
aspcore-mvc-ado-pg,498.07us,385.42us,12.75ms,881764.0,1697051752,1697051767,,,,,
aspcore-mvc-ado-pg,704.41us,775.64us,17.36ms,1370292.0,1697051769,1697051784,,,,,
aspcore-mvc-ado-pg,1.03ms,0.94ms,19.23ms,1839547.0,1697051786,1697051801,,,,,
aspcore-mvc-ado-pg,1.86ms,1.52ms,25.95ms,2270964.0,1697051803,1697051819,,,,,
aspcore-mvc-ado-pg,3.46ms,2.39ms,34.03ms,2372805.0,1697051821,1697051836,,,,,
aspcore-mvc-dap-my,620.44us,0.86ms,19.30ms,451017.0,1697052610,1697052625,,,,,
aspcore-mvc-dap-my,681.60us,0.91ms,14.01ms,728933.0,1697052627,1697052642,,,,,
aspcore-mvc-dap-my,0.95ms,1.95ms,22.25ms,1527329.0,1697052644,1697052659,,,,,
aspcore-mvc-dap-my,1.39ms,2.04ms,29.74ms,1697562.0,1697052661,1697052677,,,,,
aspcore-mvc-dap-my,2.63ms,2.38ms,34.75ms,1698024.0,1697052679,1697052694,,,,,
aspcore-mvc-dap-my,5.05ms,3.21ms,47.77ms,1603514.0,1697052696,1697052711,,,,,
aspcore-mvc-dap-pg,460.79us,265.89us,11.11ms,532528.0,1697053115,1697053130,,,,,
aspcore-mvc-dap-pg,515.48us,359.48us,13.51ms,846010.0,1697053132,1697053147,,,,,
aspcore-mvc-dap-pg,745.10us,792.18us,19.40ms,1291010.0,1697053149,1697053164,,,,,
aspcore-mvc-dap-pg,1.18ms,1.22ms,19.62ms,1668647.0,1697053166,1697053181,,,,,
aspcore-mvc-dap-pg,2.05ms,1.67ms,26.30ms,2060855.0,1697053184,1697053199,,,,,
aspcore-mvc-dap-pg,3.79ms,2.67ms,39.83ms,2164566.0,1697053201,1697053216,,,,,
aspcore-mvc-ef-pg,464.05us,252.21us,10.40ms,526589.0,1697053849,1697053864,,,,,
aspcore-mvc-ef-pg,518.80us,325.56us,10.83ms,834132.0,1697053866,1697053881,,,,,
aspcore-mvc-ef-pg,779.49us,838.13us,19.30ms,1238529.0,1697053883,1697053898,,,,,
aspcore-mvc-ef-pg,1.16ms,1.10ms,20.37ms,1647689.0,1697053900,1697053916,,,,,
aspcore-mvc-ef-pg,2.07ms,1.62ms,26.51ms,2019364.0,1697053918,1697053933,,,,,
aspcore-mvc-ef-pg,3.87ms,2.61ms,35.49ms,2103394.0,1697053935,1697053950,,,,,
aspcore-mw-ado-my,609.75us,1.59ms,24.94ms,570857.0,1697054685,1697054700,,,,,
aspcore-mw-ado-my,639.52us,1.46ms,20.37ms,929418.0,1697054702,1697054717,,,,,
aspcore-mw-ado-my,0.95ms,2.54ms,24.86ms,2124248.0,1697054719,1697054734,,,,,
aspcore-mw-ado-my,1.17ms,2.30ms,25.76ms,2483134.0,1697054736,1697054751,,,,,
aspcore-mw-ado-my,2.14ms,2.74ms,38.85ms,2520240.0,1697054753,1697054768,,,,,
aspcore-mw-ado-my,4.29ms,4.96ms,62.76ms,2518328.0,1697054770,1697054785,,,,,
aspcore-mw-ado-pg,360.53us,176.37us,10.88ms,668905.0,1697055190,1697055205,,,,,
aspcore-mw-ado-pg,403.16us,272.26us,12.19ms,1066363.0,1697055207,1697055222,,,,,
aspcore-mw-ado-pg,495.12us,428.35us,10.42ms,1792555.0,1697055224,1697055239,,,,,
aspcore-mw-ado-pg,707.79us,1.05ms,16.71ms,2976900.0,1697055241,1697055256,,,,,
aspcore-mw-ado-pg,1.05ms,1.17ms,30.00ms,4326969.0,1697055258,1697055273,,,,,
aspcore-mw-ado-pg,1.87ms,1.47ms,25.90ms,4523184.0,1697055275,1697055291,,,,,
aspcore-mw-dap-my,600.04us,1.24ms,19.09ms,518524.0,1697056064,1697056079,,,,,
aspcore-mw-dap-my,646.10us,1.29ms,19.40ms,861345.0,1697056081,1697056096,,,,,
aspcore-mw-dap-my,0.91ms,2.35ms,26.07ms,1991628.0,1697056098,1697056113,,,,,
aspcore-mw-dap-my,1.18ms,2.18ms,24.56ms,2310564.0,1697056115,1697056130,,,,,
aspcore-mw-dap-my,2.21ms,2.78ms,37.88ms,2459880.0,1697056132,1697056148,,,,,
aspcore-mw-dap-my,4.23ms,4.84ms,83.39ms,2508810.0,1697056150,1697056165,,,,,
aspcore-mw-dap-pg,373.84us,193.71us,8.40ms,647900.0,1697056568,1697056583,,,,,
aspcore-mw-dap-pg,415.31us,259.73us,10.02ms,1029826.0,1697056585,1697056600,,,,,
aspcore-mw-dap-pg,530.58us,573.97us,14.74ms,1723560.0,1697056602,1697056617,,,,,
aspcore-mw-dap-pg,719.74us,0.94ms,18.42ms,2823750.0,1697056619,1697056634,,,,,
aspcore-mw-dap-pg,1.17ms,1.25ms,31.28ms,3832183.0,1697056636,1697056651,,,,,
aspcore-mw-dap-pg,2.10ms,1.62ms,40.26ms,3995881.0,1697056653,1697056668,,,,,
aspcore-mw-ef-pg,373.96us,153.70us,8.04ms,643405.0,1697057303,1697057318,,,,,
aspcore-mw-ef-pg,413.45us,245.18us,10.59ms,1030538.0,1697057320,1697057336,,,,,
aspcore-mw-ef-pg,520.81us,470.85us,12.42ms,1715835.0,1697057338,1697057353,,,,,
aspcore-mw-ef-pg,706.12us,0.87ms,16.27ms,2820239.0,1697057355,1697057370,,,,,
aspcore-mw-ef-pg,1.19ms,1.22ms,21.79ms,3701671.0,1697057372,1697057387,,,,,
aspcore-mw-ef-pg,2.09ms,1.68ms,37.15ms,4069144.0,1697057389,1697057404,,,,,
aspcore-vb-mw-ado-my,631.07us,1.54ms,23.84ms,530729.0,1697058480,1697058495,,,,,
aspcore-vb-mw-ado-my,642.05us,1.37ms,24.66ms,885231.0,1697058497,1697058512,,,,,
aspcore-vb-mw-ado-my,0.88ms,2.29ms,26.67ms,2046747.0,1697058514,1697058529,,,,,
aspcore-vb-mw-ado-my,1.17ms,2.23ms,24.06ms,2357352.0,1697058531,1697058547,,,,,
aspcore-vb-mw-ado-my,2.19ms,2.94ms,64.34ms,2582254.0,1697058549,1697058564,,,,,
aspcore-vb-mw-ado-my,3.98ms,4.84ms,84.12ms,2687932.0,1697058566,1697058581,,,,,
aspcore-vb-mw-ado-pg,381.66us,166.04us,9.48ms,632430.0,1697059105,1697059120,,,,,
aspcore-vb-mw-ado-pg,399.20us,167.57us,9.01ms,1057147.0,1697059122,1697059137,,,,,
aspcore-vb-mw-ado-pg,471.09us,764.82us,16.54ms,2180354.0,1697059139,1697059154,,,,,
aspcore-vb-mw-ado-pg,632.08us,1.06ms,26.91ms,3604648.0,1697059156,1697059171,,,,,
aspcore-vb-mw-ado-pg,1.16ms,1.19ms,31.21ms,3856803.0,1697059173,1697059188,,,,,
aspcore-vb-mw-ado-pg,2.14ms,1.37ms,33.30ms,3833604.0,1697059190,1697059206,,,,,
http4k-ratpack,523.10us,222.70us,6.21ms,462765.0,1697237487,1697237502,,,,,
http4k-ratpack,606.53us,264.01us,6.35ms,700994.0,1697237504,1697237519,,,,,
http4k-ratpack,453.91us,177.99us,3.22ms,1844459.0,1697237521,1697237536,,,,,
http4k-ratpack,658.84us,301.93us,12.11ms,2564644.0,1697237538,1697237553,,,,,
http4k-ratpack,1.40ms,665.80us,13.88ms,2744202.0,1697237555,1697237570,,,,,
http4k-ratpack,2.76ms,0.98ms,19.31ms,2755396.0,1697237572,1697237587,,,,,
javalin-postgres,361.80us,176.91us,6.67ms,674614.0,1697258054,1697258069,,,,,
javalin-postgres,375.01us,187.71us,9.14ms,1140848.0,1697258071,1697258086,,,,,
javalin-postgres,438.05us,1.16ms,41.08ms,2256700.0,1697258088,1697258103,,,,,
javalin-postgres,0.89ms,0.99ms,22.34ms,2273297.0,1697258105,1697258120,,,,,
javalin-postgres,2.82ms,4.78ms,209.01ms,2419127.0,1697258122,1697258137,,,,,
javalin-postgres,5.69ms,8.55ms,229.83ms,2414648.0,1697258139,1697258155,,,,,
jooby,369.86us,54.63us,8.45ms,640982.0,1697262679,1697262694,,,,,
jooby,332.30us,33.91us,4.29ms,1241439.0,1697262696,1697262711,,,,,
jooby,364.05us,204.03us,18.13ms,2314519.0,1697262713,1697262729,,,,,
jooby,804.58us,796.12us,24.56ms,2401163.0,1697262731,1697262746,,,,,
jooby,1.70ms,1.56ms,23.74ms,2557581.0,1697262748,1697262763,,,,,
jooby,3.08ms,2.60ms,38.49ms,2723854.0,1697262765,1697262780,,,,,
jooby-jetty,374.67us,86.52us,4.45ms,635626.0,1697263564,1697263579,,,,,
jooby-jetty,347.29us,62.67us,2.82ms,1192880.0,1697263581,1697263596,,,,,
jooby-jetty,346.21us,141.27us,11.69ms,2428569.0,1697263598,1697263613,,,,,
jooby-jetty,632.03us,785.70us,26.05ms,2972728.0,1697263615,1697263630,,,,,
jooby-jetty,1.64ms,3.02ms,64.05ms,3224299.0,1697263632,1697263647,,,,,
jooby-jetty,3.07ms,5.18ms,223.29ms,3161687.0,1697263649,1697263664,,,,,
jooby-mvc,454.39us,90.60us,12.49ms,524602.0,1697264438,1697264453,,,,,
jooby-mvc,704.59us,1.01ms,9.80ms,795698.0,1697264455,1697264470,,,,,
jooby-mvc,483.73us,575.23us,12.05ms,2125537.0,1697264472,1697264487,,,,,
jooby-mvc,585.13us,703.57us,15.36ms,3472261.0,1697264489,1697264504,,,,,
jooby-mvc,1.12ms,1.00ms,21.86ms,3867243.0,1697264506,1697264521,,,,,
jooby-mvc,2.09ms,1.76ms,28.64ms,4084809.0,1697264523,1697264538,,,,,
jooby-netty,472.50us,67.33us,6.76ms,504296.0,1697265312,1697265327,,,,,
jooby-netty,694.46us,0.94ms,9.81ms,774128.0,1697265329,1697265344,,,,,
jooby-netty,459.29us,492.12us,12.91ms,2125391.0,1697265346,1697265361,,,,,
jooby-netty,601.01us,687.61us,15.93ms,3280163.0,1697265363,1697265378,,,,,
jooby-netty,1.17ms,1.02ms,20.88ms,3704032.0,1697265380,1697265395,,,,,
jooby-netty,2.26ms,2.03ms,36.17ms,3886288.0,1697265397,1697265412,,,,,
jooby-pgclient,414.46us,30.93us,2.29ms,572679.0,1697266046,1697266061,,,,,
jooby-pgclient,433.72us,44.78us,6.16ms,956918.0,1697266063,1697266078,,,,,
jooby-pgclient,296.47us,52.90us,7.40ms,2796758.0,1697266080,1697266095,,,,,
jooby-pgclient,402.39us,155.66us,13.39ms,4179519.0,1697266097,1697266113,,,,,
jooby-pgclient,686.04us,377.40us,16.95ms,5672400.0,1697266115,1697266130,,,,,
jooby-pgclient,1.31ms,1.17ms,31.86ms,6415239.0,1697266132,1697266147,,,,,
micronaut,554.03us,96.83us,4.08ms,432038.0,1697316234,1697316250,,,,,
micronaut,417.63us,83.22us,4.45ms,997620.0,1697316252,1697316267,,,,,
micronaut,512.23us,513.10us,23.66ms,1680350.0,1697316269,1697316284,,,,,
micronaut,0.90ms,259.72us,29.52ms,1863196.0,1697316286,1697316301,,,,,
micronaut,1.99ms,272.34us,14.32ms,1902112.0,1697316303,1697316318,,,,,
micronaut,4.05ms,448.90us,24.72ms,1874976.0,1697316320,1697316335,,,,,
micronaut-data-jdbc,557.93us,129.55us,4.63ms,431008.0,1697317075,1697317090,,,,,
micronaut-data-jdbc,426.20us,117.67us,5.91ms,985463.0,1697317092,1697317107,,,,,
micronaut-data-jdbc,463.97us,152.99us,10.51ms,1810842.0,1697317109,1697317124,,,,,
micronaut-data-jdbc,0.85ms,768.08us,29.55ms,2054653.0,1697317126,1697317141,,,,,
micronaut-data-jdbc,1.84ms,1.27ms,47.29ms,2198724.0,1697317143,1697317159,,,,,
micronaut-data-jdbc,4.07ms,5.58ms,207.21ms,2248508.0,1697317161,1697317176,,,,,
micronaut-data-jdbc-graalvm,1.12ms,745.81us,19.34ms,220716.0,1697317927,1697317942,,,,,
micronaut-data-jdbc-graalvm,0.88ms,2.65ms,71.48ms,601974.0,1697317944,1697317959,,,,,
micronaut-data-jdbc-graalvm,1.43ms,3.25ms,68.53ms,819870.0,1697317961,1697317976,,,,,
micronaut-data-jdbc-graalvm,2.73ms,5.05ms,107.86ms,838865.0,1697317978,1697317993,,,,,
micronaut-data-jdbc-graalvm,5.83ms,7.22ms,89.82ms,875026.0,1697317995,1697318010,,,,,
micronaut-data-jdbc-graalvm,12.21ms,14.13ms,147.76ms,842951.0,1697318012,1697318028,,,,,
micronaut-data-mongodb,0.94ms,153.35us,5.78ms,253444.0,1697318734,1697318749,,,,,
micronaut-data-mongodb,805.62us,172.03us,3.29ms,522341.0,1697318751,1697318767,,,,,
micronaut-data-mongodb,580.19us,171.61us,13.08ms,1448276.0,1697318769,1697318784,,,,,
micronaut-data-mongodb,1.34ms,2.47ms,45.90ms,1657431.0,1697318786,1697318801,,,,,
micronaut-data-mongodb,3.35ms,4.22ms,211.12ms,1569580.0,1697318803,1697318818,,,,,
