frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
act-eclipselink-mysql,1.04ms,1.85ms,27.64ms,301938.0,1697013419,1697013435,,,,,
act-eclipselink-mysql,723.49us,660.72us,9.97ms,645510.0,1697013437,1697013452,,,,,
act-eclipselink-mysql,743.99us,839.95us,15.29ms,1369515.0,1697013454,1697013469,,,,,
act-eclipselink-mysql,1.60ms,1.73ms,31.86ms,1307494.0,1697013471,1697013486,,,,,
act-eclipselink-mysql,4.45ms,4.99ms,63.92ms,1176871.0,1697013488,1697013503,,,,,
act-eclipselink-mysql,7.91ms,6.45ms,87.15ms,1089329.0,1697013505,1697013520,,,,,
act-hibernate-pgsql,687.18us,0.93ms,10.94ms,422422.0,1697017849,1697017865,,,,,
act-hibernate-pgsql,500.44us,542.47us,7.75ms,961908.0,1697017867,1697017882,,,,,
act-hibernate-pgsql,606.48us,759.34us,13.77ms,1743716.0,1697017884,1697017899,,,,,
act-hibernate-pgsql,1.80ms,3.10ms,50.39ms,1642167.0,1697017901,1697017916,,,,,
act-hibernate-pgsql,3.48ms,4.65ms,81.04ms,1805338.0,1697017918,1697017933,,,,,
act-hibernate-pgsql,7.24ms,13.53ms,329.15ms,1866335.0,1697017935,1697017950,,,,,
actix-http,363.49us,24.42us,1.40ms,650817.0,1697019910,1697019925,,,,,
actix-http,369.28us,36.51us,0.91ms,1118773.0,1697019927,1697019942,,,,,
actix-http,248.39us,35.45us,1.27ms,3332631.0,1697019944,1697019959,,,,,
actix-http,328.61us,60.41us,3.59ms,5078184.0,1697019961,1697019976,,,,,
actix-http,652.60us,123.67us,6.53ms,5784406.0,1697019978,1697019993,,,,,
actix-http,1.25ms,226.18us,6.31ms,6077171.0,1697019995,1697020010,,,,,
actix-web-diesel,452.66us,50.15us,4.46ms,524909.0,1697021561,1697021576,,,,,
actix-web-diesel,401.27us,102.04us,7.96ms,1034492.0,1697021578,1697021593,,,,,
actix-web-diesel,463.31us,755.88us,31.47ms,1911411.0,1697021595,1697021610,,,,,
actix-web-diesel,777.30us,168.48us,14.03ms,2158625.0,1697021612,1697021627,,,,,
actix-web-diesel,1.55ms,367.73us,15.86ms,2442040.0,1697021629,1697021644,,,,,
actix-web-diesel,2.96ms,0.90ms,20.81ms,2572264.0,1697021646,1697021661,,,,,
actix-web-mongodb,778.12us,77.60us,2.67ms,307000.0,1697022625,1697022641,,,,,
actix-web-mongodb,1.00ms,101.87us,2.78ms,415498.0,1697022643,1697022658,,,,,
actix-web-mongodb,2.01ms,146.96us,6.16ms,416540.0,1697022660,1697022675,,,,,
actix-web-mongodb,4.01ms,291.95us,5.99ms,418792.0,1697022677,1697022692,,,,,
actix-web-mongodb,9.13ms,705.20us,22.87ms,413748.0,1697022694,1697022709,,,,,
actix-web-mongodb,17.72ms,1.28ms,30.07ms,427549.0,1697022711,1697022726,,,,,
actix-web-pg-deadpool,804.62us,72.24us,2.60ms,296870.0,1697023504,1697023519,,,,,
actix-web-pg-deadpool,575.24us,88.51us,3.29ms,724721.0,1697023521,1697023536,,,,,
