frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
aspcore,100.89us,16.10us,1.71ms,2290094,1697041291,1697041306,,,,,
aspcore,82.83us,9.16us,4.08ms,4897005,1697041308,1697041323,,,,,
aspcore,93.49us,31.56us,9.83ms,8613158,1697041325,1697041340,,,,,
aspcore,122.94us,64.77us,12.34ms,12835588,1697041342,1697041357,,,,,
aspcore,239.66us,263.29us,22.59ms,15455869,1697041359,1697041375,,,,,
aspcore,479.64us,355.18us,36.55ms,15630448,1697041377,1697041392,,,,,
aspcore-aot,106.24us,15.95us,1.57ms,2175419,1697043641,1697043657,,,,,
aspcore-aot,83.54us,14.26us,5.53ms,4859702,1697043659,1697043674,,,,,
aspcore-aot,94.14us,14.85us,4.12ms,8544828,1697043676,1697043691,,,,,
aspcore-aot,125.10us,70.86us,12.02ms,12670774,1697043693,1697043708,,,,,
aspcore-aot,246.66us,210.70us,14.64ms,14897634,1697043710,1697043725,,,,,
aspcore-aot,497.38us,287.96us,20.66ms,15038953,1697043727,1697043742,,,,,
aspcore-mono-mvc,257.81us,249.98us,7.56ms,1072335,1697047070,1697047085,,,,,
aspcore-mono-mvc,403.31us,619.66us,17.19ms,1479797,1697047087,1697047102,,,,,
aspcore-mono-mvc,748.31us,1.39ms,35.60ms,2079339,1697047104,1697047119,,,,,
aspcore-mono-mvc,1.07ms,1.62ms,61.17ms,2390115,1697047121,1697047136,,,,,
aspcore-mono-mvc,2.03ms,2.46ms,134.19ms,2308958,1697047138,1697047154,,,,,
aspcore-mono-mvc,3.88ms,2.62ms,59.47ms,2013632,1697047156,1697047171,,,,,
aspcore-mono-mw,150.12us,223.95us,9.53ms,1782520,1697048550,1697048565,,,,,
aspcore-mono-mw,207.45us,541.93us,20.77ms,2857877,1697048567,1697048582,,,,,
aspcore-mono-mw,349.77us,1.73ms,52.15ms,4987287,1697048584,1697048599,,,,,
aspcore-mono-mw,538.83us,1.33ms,38.05ms,6553001,1697048601,1697048617,,,,,
aspcore-mono-mw,0.95ms,1.64ms,43.33ms,6781297,1697048619,1697048634,,,,,
aspcore-mono-mw,1.71ms,2.35ms,55.76ms,6611294,1697048636,1697048651,,,,,
aspcore-mvc,134.84us,229.19us,11.12ms,1896616,1697050489,1697050504,,,,,
aspcore-mvc,182.72us,510.52us,18.82ms,3070876,1697050506,1697050521,,,,,
aspcore-mvc,214.39us,586.77us,17.89ms,5434630,1697050523,1697050538,,,,,
aspcore-mvc,371.63us,1.06ms,24.53ms,7408228,1697050540,1697050555,,,,,
aspcore-mvc,708.39us,1.51ms,40.38ms,7928833,1697050557,1697050572,,,,,
aspcore-mvc,1.14ms,1.55ms,45.14ms,8202541,1697050574,1697050589,,,,,
aspcore-mw-json,90.70us,40.04us,3.74ms,2562318,1697057532,1697057547,,,,,
aspcore-mw-json,115.05us,250.82us,11.18ms,4021390,1697057549,1697057564,,,,,
aspcore-mw-json,129.15us,270.54us,10.70ms,7063008,1697057566,1697057582,,,,,
aspcore-mw-json,159.92us,267.19us,11.72ms,11036174,1697057584,1697057599,,,,,
aspcore-mw-json,449.04us,1.27ms,44.22ms,12736950,1697057601,1697057616,,,,,
aspcore-mw-json,761.19us,1.52ms,44.83ms,13094062,1697057618,1697057633,,,,,
aspcore-vb-mw,90.84us,37.66us,3.89ms,2558735,1697057750,1697057765,,,,,
aspcore-vb-mw,120.33us,326.04us,15.08ms,3984575,1697057767,1697057782,,,,,
