frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
0http,292.11us,100.75us,4.69ms,806828,1697012134,1697012149,,,,,
0http,496.28us,175.00us,1.17ms,838620,1697012151,1697012166,,,,,
0http,1.01ms,278.12us,2.65ms,828132,1697012168,1697012183,,,,,
0http,2.01ms,416.26us,6.48ms,833518,1697012185,1697012200,,,,,
0http,4.52ms,518.66us,14.81ms,832920,1697012202,1697012217,,,,,
0http,10.62ms,762.78us,22.70ms,713065,1697012219,1697012234,,,,,
act,127.20us,229.78us,5.82ms,2054321,1697012576,1697012592,,,,,
act,101.35us,170.13us,5.94ms,4535400,1697012594,1697012609,,,,,
act,116.01us,172.41us,5.56ms,7925938,1697012611,1697012626,,,,,
act,217.82us,533.14us,16.53ms,10854804,1697012628,1697012643,,,,,
act,0.89ms,2.25ms,51.44ms,13426425,1697012645,1697012660,,,,,
act,2.94ms,5.87ms,157.19ms,14460060,1697012662,1697012677,,,,,
activej,94.47us,26.18us,2.36ms,2457222,1697018119,1697018134,,,,,
activej,83.23us,19.80us,4.93ms,4889764,1697018136,1697018151,,,,,
activej,105.17us,49.12us,12.97ms,7718534,1697018153,1697018168,,,,,
activej,148.24us,145.30us,15.78ms,11079138,1697018170,1697018185,,,,,
activej,449.86us,1.43ms,52.29ms,14570817,1697018187,1697018202,,,,,
activej,2.12ms,3.95ms,50.32ms,16006632,1697018204,1697018220,,,,,
actix,106.13us,18.57us,4.09ms,2178385,1697018821,1697018836,,,,,
actix,90.84us,10.31us,2.08ms,4472469,1697018838,1697018853,,,,,
actix,97.33us,55.97us,10.15ms,8268299,1697018855,1697018870,,,,,
actix,124.59us,29.36us,3.77ms,12609055,1697018872,1697018888,,,,,
actix,236.57us,62.11us,4.46ms,15114412,1697018890,1697018905,,,,,
actix,412.11us,147.31us,12.68ms,17109800,1697018907,1697018922,,,,,
actix-server,101.45us,21.78us,3.70ms,2280738,1697020486,1697020501,,,,,
actix-server,90.28us,11.32us,3.26ms,4496327,1697020503,1697020518,,,,,
actix-server,96.45us,21.65us,4.54ms,8309489,1697020520,1697020536,,,,,
actix-server,123.69us,34.51us,4.23ms,12686296,1697020538,1697020553,,,,,
actix-server,229.24us,68.83us,6.91ms,15531862,1697020555,1697020570,,,,,
actix-server,369.69us,176.81us,16.83ms,17912788,1697020572,1697020587,,,,,
agoo,291.31us,2.02ms,100.41ms,1081076,1697023964,1697023979,,,,,
