frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
aspcore,291.94us,144.14us,8.69ms,104937392.0,1697041424,1697041440,,,,,
aspcore,1.22ms,1.09ms,70.98ms,105092144.0,1697041442,1697041457,,,,,
aspcore,4.23ms,10.45ms,670.41ms,104669584.0,1697041459,1697041474,,,,,
aspcore,12.15ms,11.12ms,351.46ms,98236912.0,1697041476,1697041492,0.0,1887.0,0.0,0.0,
aspcore-aot,293.74us,151.79us,13.87ms,104955152.0,1697043775,1697043790,,,,,
aspcore-aot,1.20ms,759.10us,55.20ms,105214480.0,1697043792,1697043807,,,,,
aspcore-aot,4.03ms,9.02ms,329.97ms,104908512.0,1697043809,1697043825,,,,,
aspcore-aot,12.18ms,12.83ms,459.05ms,98780608.0,1697043827,1697043842,0.0,1539.0,0.0,0.0,
aspcore-mono-mvc,5.95ms,5.95ms,152.25ms,6566856.0,1697047204,1697047219,,,,,
aspcore-mono-mvc,24.21ms,17.93ms,255.18ms,6068892.0,1697047221,1697047236,,,,,
aspcore-mono-mvc,150.02ms,94.36ms,610.84ms,3829909.0,1697047238,1697047253,0.0,471.0,0.0,0.0,
aspcore-mono-mvc,316.55ms,169.18ms,1.03s,4114041.0,1697047255,1697047271,0.0,2144.0,0.0,0.0,
aspcore-mono-mw,1.36ms,1.48ms,45.67ms,29180929.0,1697048684,1697048699,,,,,
aspcore-mono-mw,4.78ms,3.16ms,65.67ms,30357221.0,1697048701,1697048716,,,,,
aspcore-mono-mw,19.48ms,13.99ms,275.65ms,28015455.0,1697048718,1697048733,,,,,
aspcore-mono-mw,65.13ms,39.20ms,706.01ms,23587082.0,1697048735,1697048751,0.0,3312.0,0.0,0.0,
aspcore-mvc,1.22ms,1.48ms,37.03ms,35163670.0,1697050622,1697050637,,,,,
aspcore-mvc,4.13ms,2.92ms,64.10ms,36099568.0,1697050639,1697050654,,,,,
aspcore-mvc,15.95ms,10.29ms,253.76ms,34901319.0,1697050656,1697050672,,,,,
aspcore-mvc,57.95ms,31.06ms,516.56ms,31741477.0,1697050674,1697050689,0.0,2479.0,0.0,0.0,
aspcore-mw,631.14us,1.20ms,32.93ms,69393300.0,1697054078,1697054093,,,,,
aspcore-mw,1.97ms,1.61ms,42.26ms,74282668.0,1697054095,1697054110,,,,,
aspcore-mw,7.72ms,7.63ms,260.40ms,71988826.0,1697054112,1697054128,0.0,17.0,0.0,0.0,
aspcore-mw,26.42ms,15.90ms,476.31ms,69290541.0,1697054130,1697054145,0.0,3053.0,0.0,0.0,
aspcore-vb-mw,587.16us,1.02ms,33.26ms,68932484.0,1697057884,1697057899,,,,,
aspcore-vb-mw,2.00ms,1.61ms,49.13ms,72890090.0,1697057901,1697057916,,,,,
aspcore-vb-mw,7.64ms,7.09ms,260.56ms,71303583.0,1697057918,1697057933,,,,,
aspcore-vb-mw,29.68ms,17.75ms,481.49ms,68394027.0,1697057935,1697057951,0.0,3315.0,0.0,0.0,
http4k-ratpack,9.34ms,8.62ms,99.55ms,7184070.0,1697237620,1697237635,,,,,
http4k-ratpack,22.33ms,15.28ms,167.20ms,7183625.0,1697237637,1697237653,,,,,
http4k-ratpack,84.16ms,53.87ms,624.23ms,6952726.0,1697237655,1697237670,,,,,
http4k-ratpack,310.33ms,251.04ms,3.17s,6871395.0,1697237672,1697237687,0.0,1144.0,0.0,0.0,
javalin,23.84ms,63.53ms,1.03s,12849572.0,1697257427,1697257442,,,,,
javalin,19.73ms,25.34ms,435.91ms,13466894.0,1697257444,1697257459,0.0,63.0,0.0,0.0,
javalin,42.97ms,35.53ms,597.16ms,13418925.0,1697257461,1697257476,0.0,1607.0,0.0,0.0,
javalin,182.19ms,142.61ms,1.72s,11780218.0,1697257478,1697257494,0.0,6469.0,0.0,0.0,
jooby,4.84ms,10.12ms,225.19ms,58098096.0,1697262813,1697262828,,,,,
jooby,13.55ms,20.33ms,363.97ms,59593120.0,1697262830,1697262845,,,,,
jooby,27.03ms,30.67ms,581.81ms,39153216.0,1697262847,1697262863,,,,,
jooby,95.81ms,89.90ms,1.52s,29055072.0,1697262865,1697262880,,,,,
jooby-jetty,7.21ms,12.00ms,222.18ms,15953046.0,1697263697,1697263712,,,,,
jooby-jetty,12.55ms,14.57ms,303.27ms,16795567.0,1697263714,1697263730,0.0,16.0,0.0,0.0,
jooby-jetty,38.68ms,40.69ms,860.53ms,16100613.0,1697263732,1697263747,0.0,1394.0,0.0,0.0,
jooby-jetty,140.22ms,94.95ms,1.16s,13519345.0,1697263749,1697263764,0.0,5689.0,0.0,0.0,
jooby-mvc,5.70ms,7.44ms,84.47ms,70457712.0,1697264571,1697264586,,,,,
jooby-mvc,7.38ms,9.18ms,113.73ms,72024800.0,1697264588,1697264603,,,,,
jooby-mvc,12.27ms,10.77ms,166.26ms,69187024.0,1697264605,1697264621,,,,,
jooby-mvc,38.88ms,28.52ms,612.00ms,64213984.0,1697264623,1697264638,,,,,
jooby-netty,5.82ms,7.69ms,84.57ms,68405440.0,1697265445,1697265460,,,,,
jooby-netty,7.14ms,8.50ms,93.31ms,70365600.0,1697265462,1697265478,,,,,
jooby-netty,12.39ms,10.79ms,206.03ms,67544784.0,1697265480,1697265495,,,,,
jooby-netty,38.99ms,25.47ms,406.56ms,62269152.0,1697265497,1697265512,,,,,
micronaut,7.38ms,8.84ms,120.69ms,19905200.0,1697316368,1697316383,,,,,
micronaut,10.97ms,9.35ms,104.19ms,19792368.0,1697316385,1697316400,,,,,
micronaut,32.77ms,22.86ms,375.61ms,19479408.0,1697316402,1697316418,,,,,
micronaut,128.39ms,77.79ms,837.90ms,18282096.0,1697316420,1697316435,,,,,
micronaut-graalvm,18.80ms,18.26ms,191.80ms,4363968.0,1697320763,1697320779,,,,,
micronaut-graalvm,80.10ms,57.03ms,510.82ms,2066528.0,1697320781,1697320796,,,,,
micronaut-graalvm,401.82ms,253.91ms,2.55s,1446864.0,1697320798,1697320813,,,,,
micronaut-graalvm,2.25s,1.41s,8.00s,960144.0,1697320815,1697320831,0.0,0.0,0.0,2092.0,
nancy,395.75ms,764.79ms,6.47s,192864.0,1697334659,1697334674,,,,,
nancy,603.37ms,1.09s,7.97s,200558.0,1697334676,1697334692,0.0,0.0,0.0,87.0,
nancy,626.30ms,1.05s,7.99s,193004.0,1697334694,1697334709,0.0,13.0,0.0,85.0,
nancy,442.14ms,569.67ms,7.95s,193748.0,1697334711,1697334727,0.0,538.0,0.0,67.0,
nancy-netcore,7.82ms,4.59ms,60.95ms,4590027.0,1697335281,1697335296,,,,,
nancy-netcore,29.96ms,16.71ms,118.52ms,4620924.0,1697335298,1697335314,,,,,
nancy-netcore,119.90ms,66.25ms,487.25ms,4456541.0,1697335316,1697335331,0.0,258.0,0.0,0.0,
nancy-netcore,410.04ms,214.28ms,1.83s,4052371.0,1697335333,1697335348,0.0,3699.0,0.0,0.0,
officefloor-spring_data,463.22ms,1.18s,8.00s,457104.0,1697363754,1697363770,0.0,0.0,0.0,64.0,
officefloor-spring_data,497.70ms,1.20s,7.95s,457952.0,1697363772,1697363787,0.0,0.0,0.0,65.0,
officefloor-spring_data,259.90ms,363.59ms,7.72s,457968.0,1697363789,1697363804,0.0,0.0,0.0,24.0,
officefloor-spring_data,157.83ms,529.21ms,7.84s,455088.0,1697363806,1697363822,0.0,0.0,0.0,66.0,
officefloor-vertx,74.86ms,38.87ms,278.46ms,446912.0,1697367776,1697367792,,,,,
officefloor-vertx,302.54ms,153.39ms,1.02s,445136.0,1697367794,1697367809,,,,,
officefloor-vertx,1.22s,621.26ms,2.75s,440496.0,1697367811,1697367826,,,,,
officefloor-vertx,3.25s,1.86s,8.00s,424896.0,1697367828,1697367844,0.0,0.0,0.0,11124.0,
quarkus,835.12us,0.96ms,40.88ms,42922192.0,1697423004,1697423019,,,,,
quarkus,3.34ms,3.50ms,99.38ms,42608777.0,1697423021,1697423036,,,,,
quarkus,13.04ms,6.85ms,106.79ms,41994160.0,1697423038,1697423054,,,,,
quarkus,53.94ms,29.17ms,331.04ms,40322784.0,1697423056,1697423071,,,,,
quarkus-hibernate-reactive,791.71us,580.32us,29.38ms,42787520.0,1697423938,1697423953,,,,,
quarkus-hibernate-reactive,3.17ms,1.70ms,30.59ms,42639264.0,1697423955,1697423971,,,,,
quarkus-hibernate-reactive,13.47ms,8.49ms,210.05ms,41491504.0,1697423973,1697423988,,,,,
quarkus-hibernate-reactive,53.81ms,28.68ms,387.93ms,40198464.0,1697423990,1697424005,,,,,
ratpack,9.57ms,11.47ms,115.07ms,11876904.0,1697439053,1697439068,,,,,
ratpack,16.11ms,13.24ms,128.62ms,12049225.0,1697439070,1697439085,,,,,
ratpack,51.74ms,35.09ms,518.59ms,11981470.0,1697439087,1697439102,,,,,
ratpack,213.17ms,145.60ms,1.93s,11297040.0,1697439104,1697439120,,,,,
spring,9.96ms,10.59ms,136.75ms,6616000.0,1697501227,1697501242,,,,,
spring,38.08ms,41.11ms,481.44ms,7591312.0,1697501244,1697501259,,,,,
spring,83.91ms,65.18ms,872.63ms,7409568.0,1697501261,1697501277,,,,,
spring,305.86ms,172.95ms,1.39s,6348416.0,1697501279,1697501294,0.0,1043.0,0.0,0.0,
vertx,1.38ms,3.50ms,88.55ms,78939616.0,1697549661,1697549676,,,,,
vertx,7.59ms,9.88ms,112.91ms,84371184.0,1697549678,1697549693,,,,,
vertx,14.13ms,12.99ms,317.40ms,51374288.0,1697549695,1697549710,,,,,
vertx,60.72ms,64.42ms,1.18s,49159952.0,1697549712,1697549728,,,,,
vertx-web,732.07us,1.86ms,77.51ms,55273824.0,1697550753,1697550768,,,,,
vertx-web,2.41ms,1.53ms,55.22ms,56613104.0,1697550770,1697550785,,,,,
vertx-web,10.15ms,7.31ms,250.76ms,55562656.0,1697550787,1697550802,,,,,
vertx-web,40.09ms,22.25ms,374.85ms,54208496.0,1697550804,1697550820,,,,,
vertx-web-kotlinx,837.84us,2.41ms,97.71ms,51826368.0,1697551866,1697551882,,,,,
vertx-web-kotlinx,2.60ms,1.76ms,90.14ms,52794752.0,1697551884,1697551899,,,,,
vertx-web-kotlinx,10.98ms,8.64ms,279.22ms,51709504.0,1697551901,1697551916,,,,,
vertx-web-kotlinx,43.70ms,24.60ms,387.84ms,49889120.0,1697551918,1697551934,,,,,
vertx-web-scala,5.53ms,6.72ms,60.90ms,34753536.0,1697553964,1697553980,,,,,
vertx-web-scala,7.85ms,7.52ms,71.13ms,34779824.0,1697553982,1697553997,,,,,
vertx-web-scala,18.99ms,13.46ms,265.03ms,33678272.0,1697553999,1697554014,,,,,
