frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,connect,read,write,timeout,5xx
0http,20.85ms,10.71ms,92.57ms,1620576.0,1697012267,1697012282,,,,,
0http,81.88ms,40.87ms,372.04ms,1647888.0,1697012284,1697012300,,,,,
0http,804.45ms,1.45s,7.74s,1635872.0,1697012302,1697012317,0.0,83.0,0.0,0.0,
0http,1.13s,1.23s,7.98s,1611440.0,1697012319,1697012334,0.0,3283.0,0.0,581.0,
act,7.57ms,14.94ms,316.17ms,49096528.0,1697012710,1697012725,,,,,
act,12.61ms,16.07ms,272.81ms,40991616.0,1697012727,1697012742,,,,,
act,30.75ms,32.34ms,530.00ms,29655152.0,1697012744,1697012760,,,,,
act,124.96ms,125.69ms,2.02s,22413328.0,1697012762,1697012777,,,,,
activej,737.82us,2.58ms,91.83ms,91471616.0,1697018252,1697018268,,,,,
activej,2.17ms,3.77ms,59.41ms,96896368.0,1697018270,1697018285,,,,,
activej,8.31ms,9.67ms,170.82ms,93128144.0,1697018287,1697018302,,,,,
activej,28.59ms,22.05ms,303.47ms,87744112.0,1697018304,1697018320,,,,,
actix,514.16us,261.67us,5.41ms,64827336.0,1697018955,1697018970,,,,,
actix,2.19ms,1.17ms,7.36ms,62064640.0,1697018972,1697018987,,,,,
actix,9.70ms,5.37ms,70.09ms,57416192.0,1697018989,1697019004,,,,,
actix,40.72ms,21.86ms,317.40ms,52687376.0,1697019006,1697019022,0.0,4.0,0.0,0.0,
actix-server,1.06ms,4.65ms,49.52ms,104554512.0,1697020620,1697020635,,,,,
actix-server,1.52ms,2.56ms,53.24ms,102442136.0,1697020637,1697020652,,,,,
actix-server,6.07ms,3.39ms,236.43ms,91242640.0,1697020654,1697020670,,,,,
actix-server,27.61ms,15.14ms,286.82ms,77903744.0,1697020672,1697020687,0.0,5.0,0.0,0.0,
agoo,6.90ms,5.59ms,125.74ms,6053234.0,1697024464,1697024479,,,,,
agoo,24.68ms,14.64ms,121.14ms,5954560.0,1697024481,1697024496,,,,,
agoo,73.47ms,49.25ms,446.41ms,8618353.0,1697024498,1697024514,,,,,
agoo,289.34ms,161.25ms,1.03s,7612297.0,1697024516,1697024531,,,,,
aiohttp,16.55ms,10.26ms,96.94ms,2220032.0,1697025254,1697025269,,,,,
aiohttp,66.21ms,41.98ms,301.40ms,2234934.0,1697025271,1697025286,,,,,
aiohttp,236.81ms,146.85ms,1.02s,2147846.0,1697025288,1697025303,0.0,35.0,0.0,0.0,
aiohttp,1.02s,509.60ms,3.18s,1893396.0,1697025305,1697025321,0.0,1317.0,0.0,0.0,
aioworkers,5.55ms,5.06ms,63.12ms,9018320.0,1697026590,1697026605,,,,,
aioworkers,21.43ms,17.92ms,141.75ms,8283376.0,1697026607,1697026622,,,,,
aioworkers,102.76ms,78.00ms,637.85ms,7087792.0,1697026624,1697026640,0.0,159.0,0.0,0.0,
aioworkers,336.80ms,205.39ms,2.01s,5781776.0,1697026642,1697026657,0.0,2089.0,0.0,0.0,
aioworkers-pypy,30.71ms,30.89ms,271.98ms,3902863.0,1697026979,1697026994,,,,,
aioworkers-pypy,70.11ms,66.64ms,427.05ms,3841924.0,1697026996,1697027012,,,,,
aioworkers-pypy,181.48ms,121.58ms,787.63ms,3368488.0,1697027014,1697027029,0.0,440.0,0.0,0.0,
aioworkers-pypy,484.46ms,266.11ms,2.36s,3140456.0,1697027031,1697027046,0.0,2812.0,0.0,0.0,
akka-http,1.84ms,11.33ms,310.90ms,39531760.0,1697027978,1697027993,,,,,
akka-http,183.46ms,642.59ms,5.16s,37372528.0,1697027995,1697028010,,,,,
akka-http,139.54ms,528.48ms,4.61s,36497072.0,1697028012,1697028028,,,,,
akka-http,7.63ms,39.11ms,1.08s,35300864.0,1697028030,1697028045,0.0,728.0,0.0,205.0,
akka-http-slick-postgres,16.42ms,60.07ms,925.79ms,9754409.0,1697028727,1697028742,,,,,
akka-http-slick-postgres,400.64ms,1.13s,7.94s,10057219.0,1697028744,1697028760,0.0,0.0,0.0,230.0,
akka-http-slick-postgres,436.61ms,1.18s,7.97s,10177151.0,1697028762,1697028777,0.0,0.0,0.0,169.0,
akka-http-slick-postgres,91.91ms,406.21ms,5.24s,9854129.0,1697028779,1697028794,0.0,258.0,0.0,183.0,
aleph,6.89ms,7.60ms,86.44ms,15177357.0,1697029650,1697029665,,,,,
aleph,12.16ms,9.22ms,100.04ms,15306380.0,1697029667,1697029682,,,,,
aleph,40.02ms,24.75ms,291.55ms,15146953.0,1697029684,1697029699,,,,,
aleph,145.39ms,90.35ms,1.28s,14809837.0,1697029701,1697029717,0.0,1344.0,0.0,0.0,
amber,34.33ms,18.17ms,97.62ms,991067.0,1697030633,1697030648,,,,,
amber,126.80ms,66.06ms,422.65ms,1017757.0,1697030650,1697030665,0.0,132.0,0.0,0.0,
amber,274.99ms,139.26ms,1.14s,999958.0,1697030667,1697030682,0.0,517.0,0.0,0.0,
amber,631.32ms,447.61ms,6.85s,917549.0,1697030684,1697030700,0.0,2501.0,0.0,0.0,
amp,387.99ms,1.10s,5.41s,4717481.0,1697031532,1697031548,0.0,0.0,0.0,1.0,
amp,14.95ms,130.94ms,2.03s,4721247.0,1697031550,1697031565,0.0,0.0,0.0,20.0,
amp,18.46ms,224.75ms,7.91s,4754245.0,1697031567,1697031582,0.0,0.0,0.0,5.0,
amp,7.35ms,155.56ms,7.99s,4739651.0,1697031584,1697031600,0.0,0.0,0.0,6.0,
angel3,31.31ms,20.17ms,315.16ms,1125420.0,1697033204,1697033219,,,,,
angel3,101.09ms,60.30ms,799.99ms,1220116.0,1697033221,1697033236,0.0,166.0,0.0,0.0,
angel3,159.40ms,84.05ms,1.23s,1258040.0,1697033238,1697033253,0.0,305.0,0.0,0.0,
angel3,417.22ms,297.97ms,7.91s,1221030.0,1697033255,1697033271,0.0,3624.0,0.0,72.0,
apidaora,14.06ms,14.08ms,204.98ms,3118717.0,1697034749,1697034764,,,,,
apidaora,50.18ms,40.78ms,401.98ms,3016366.0,1697034766,1697034781,,,,,
apidaora,250.64ms,177.73ms,1.16s,2752944.0,1697034783,1697034798,,,,,
apidaora,878.10ms,486.10ms,2.83s,2403979.0,1697034800,1697034816,,,,,
apidaora-core,11.86ms,15.91ms,206.83ms,4128863.0,1697035768,1697035784,,,,,
apidaora-core,46.60ms,54.82ms,535.20ms,3927044.0,1697035786,1697035801,,,,,
apidaora-core,222.61ms,194.27ms,1.21s,3424049.0,1697035803,1697035818,,,,,
apidaora-core,765.10ms,454.61ms,3.00s,2869059.0,1697035820,1697035836,,,,,
appmpower,628.47us,1.03ms,36.70ms,62567084.0,1697036352,1697036367,,,,,
appmpower,2.21ms,1.65ms,44.04ms,65218291.0,1697036369,1697036384,,,,,
appmpower,8.98ms,7.29ms,247.43ms,62559243.0,1697036386,1697036402,,,,,
appmpower,35.05ms,24.19ms,489.96ms,59676832.0,1697036404,1697036419,0.0,3667.0,0.0,0.0,
archttp,15.77ms,7.46ms,61.45ms,606372.0,1697040360,1697040375,,,,,
archttp,,,,,1697040377,1697040377,,,,,
archttp,,,,,1697040379,1697040379,,,,,
archttp,,,,,1697040381,1697040381,,,,,
armeria,11.10ms,10.55ms,211.79ms,5268374.0,1697041059,1697041074,,,,,
armeria,28.13ms,18.09ms,177.05ms,5373324.0,1697041076,1697041092,,,,,
armeria,106.47ms,60.65ms,617.83ms,5359529.0,1697041094,1697041109,,,,,
armeria,419.48ms,234.28ms,1.88s,5275873.0,1697041111,1697041126,,,,,
aspcore,291.94us,144.14us,8.69ms,104937392.0,1697041424,1697041440,,,,,
aspcore,1.22ms,1.09ms,70.98ms,105092144.0,1697041442,1697041457,,,,,
aspcore,4.23ms,10.45ms,670.41ms,104669584.0,1697041459,1697041474,,,,,
aspcore,12.15ms,11.12ms,351.46ms,98236912.0,1697041476,1697041492,0.0,1887.0,0.0,0.0,
