frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
aspcore-ado-my,2.99ms,4.23ms,64.55ms,3710030,1697041807,1697041822,,,,,
aspcore-ado-my,9.22ms,5.61ms,205.77ms,857652,1697041824,1697041839,,,,,
aspcore-ado-my,17.64ms,6.92ms,279.29ms,437322,1697041841,1697041857,,,,,
aspcore-ado-my,26.11ms,8.10ms,226.90ms,293159,1697041859,1697041874,,,,,
aspcore-ado-my,34.71ms,9.56ms,269.83ms,219610,1697041876,1697041891,,,,,
aspcore-ado-pg,1.37ms,0.89ms,19.18ms,5847232,1697042551,1697042567,,,,,
aspcore-ado-pg,5.30ms,2.79ms,29.90ms,1458931,1697042569,1697042584,,,,,
aspcore-ado-pg,10.33ms,6.23ms,59.53ms,755272,1697042586,1697042601,,,,,
aspcore-ado-pg,15.40ms,9.31ms,88.43ms,505911,1697042603,1697042618,,,,,
aspcore-ado-pg,20.48ms,12.33ms,91.14ms,379938,1697042620,1697042635,,,,,
aspcore-aot-ado-pg,1.38ms,798.59us,17.87ms,5761700,1697045077,1697045092,,,,,
aspcore-aot-ado-pg,5.18ms,2.56ms,28.87ms,1486969,1697045094,1697045109,,,,,
aspcore-aot-ado-pg,10.24ms,5.98ms,46.51ms,758434,1697045111,1697045126,,,,,
aspcore-aot-ado-pg,15.34ms,9.19ms,80.86ms,507460,1697045128,1697045143,,,,,
aspcore-aot-ado-pg,20.57ms,12.62ms,132.60ms,379763,1697045145,1697045161,,,,,
aspcore-mono-mvc-pg,45.29ms,14.66ms,257.17ms,168128,1697047830,1697047845,,,,,
aspcore-mono-mvc-pg,41.85ms,15.57ms,279.99ms,183524,1697047847,1697047862,,,,,
aspcore-mono-mvc-pg,59.72ms,15.50ms,351.31ms,127927,1697047864,1697047879,,,,,
aspcore-mono-mvc-pg,73.02ms,12.84ms,315.64ms,104069,1697047881,1697047896,,,,,
aspcore-mono-mvc-pg,85.28ms,11.57ms,265.43ms,88895,1697047898,1697047913,,,,,
aspcore-mono-mw-pg,18.58ms,9.58ms,203.95ms,415578,1697049309,1697049324,,,,,
aspcore-mono-mw-pg,28.36ms,6.97ms,164.86ms,268438,1697049326,1697049342,,,,,
aspcore-mono-mw-pg,43.24ms,6.56ms,221.25ms,175397,1697049344,1697049359,,,,,
aspcore-mono-mw-pg,56.49ms,7.77ms,175.70ms,134223,1697049361,1697049376,,,,,
aspcore-mono-mw-pg,68.14ms,8.23ms,184.72ms,111140,1697049378,1697049393,,,,,
aspcore-mono-pg,5.67ms,4.15ms,78.12ms,1391751,1697050037,1697050052,,,,,
aspcore-mono-pg,18.42ms,8.84ms,117.98ms,415427,1697050054,1697050069,,,,,
aspcore-mono-pg,31.99ms,10.44ms,142.59ms,237256,1697050071,1697050086,,,,,
aspcore-mono-pg,45.89ms,12.76ms,171.86ms,165523,1697050088,1697050103,,,,,
aspcore-mono-pg,59.84ms,14.76ms,212.01ms,126761,1697050105,1697050120,,,,,
aspcore-mvc-ado-my,3.87ms,3.15ms,35.55ms,2271993,1697050999,1697051014,,,,,
aspcore-mvc-ado-my,9.26ms,4.79ms,170.47ms,842617,1697051016,1697051031,,,,,
aspcore-mvc-ado-my,17.87ms,6.91ms,203.78ms,430295,1697051033,1697051049,,,,,
aspcore-mvc-ado-my,26.68ms,9.40ms,282.95ms,287493,1697051051,1697051066,,,,,
aspcore-mvc-ado-my,35.17ms,9.53ms,226.88ms,216685,1697051068,1697051083,,,,,
aspcore-mvc-ado-pg,2.48ms,1.63ms,37.72ms,3301970,1697051618,1697051634,,,,,
aspcore-mvc-ado-pg,6.23ms,1.72ms,30.72ms,1225723,1697051636,1697051651,,,,,
aspcore-mvc-ado-pg,12.05ms,2.11ms,35.38ms,628753,1697051653,1697051668,,,,,
aspcore-mvc-ado-pg,18.13ms,2.39ms,41.41ms,418061,1697051670,1697051685,,,,,
aspcore-mvc-ado-pg,23.91ms,2.71ms,59.14ms,316852,1697051687,1697051702,,,,,
aspcore-mvc-dap-my,4.33ms,2.81ms,40.99ms,1910969,1697052377,1697052392,,,,,
aspcore-mvc-dap-my,16.79ms,6.65ms,224.39ms,458010,1697052394,1697052409,,,,,
aspcore-mvc-dap-my,33.03ms,8.48ms,326.72ms,230834,1697052411,1697052426,,,,,
aspcore-mvc-dap-my,49.07ms,8.78ms,198.18ms,154764,1697052428,1697052444,,,,,
aspcore-mvc-dap-my,65.53ms,12.89ms,360.49ms,115945,1697052446,1697052461,,,,,
