frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
act-eclipselink-mysql,8.25ms,8.66ms,96.46ms,1178950,1697013186,1697013202,,,,,
act-eclipselink-mysql,27.10ms,12.35ms,149.70ms,284194,1697013204,1697013219,,,,,
act-eclipselink-mysql,66.50ms,20.66ms,224.62ms,113975,1697013221,1697013236,,,,,
act-eclipselink-mysql,100.26ms,26.48ms,270.62ms,75453,1697013238,1697013253,,,,,
act-eclipselink-mysql,149.38ms,32.91ms,309.11ms,50547,1697013255,1697013270,,,,,
act-hibernate-pgsql,4.00ms,6.04ms,108.01ms,3300574,1697017617,1697017632,,,,,
act-hibernate-pgsql,8.09ms,4.27ms,120.89ms,984082,1697017634,1697017649,,,,,
act-hibernate-pgsql,15.24ms,4.37ms,107.02ms,499699,1697017651,1697017666,,,,,
act-hibernate-pgsql,22.43ms,4.04ms,103.04ms,338080,1697017668,1697017683,,,,,
act-hibernate-pgsql,29.85ms,4.72ms,125.21ms,254134,1697017685,1697017700,,,,,
actix-http,1.18ms,226.53us,10.70ms,6426158,1697019677,1697019692,,,,,
actix-http,5.67ms,0.86ms,10.85ms,1337717,1697019694,1697019709,,,,,
actix-http,11.27ms,1.59ms,18.65ms,673497,1697019711,1697019726,,,,,
actix-http,16.88ms,2.45ms,28.41ms,448984,1697019728,1697019743,,,,,
actix-http,22.43ms,3.19ms,37.73ms,338075,1697019745,1697019760,,,,,
actix-web-diesel,2.57ms,0.86ms,17.57ms,2948576,1697021328,1697021343,,,,,
actix-web-diesel,6.89ms,329.74us,15.28ms,1100696,1697021345,1697021360,,,,,
actix-web-diesel,13.79ms,619.11us,19.96ms,550145,1697021362,1697021377,,,,,
actix-web-diesel,20.71ms,769.35us,31.27ms,365868,1697021379,1697021394,,,,,
actix-web-diesel,27.61ms,1.19ms,39.90ms,274391,1697021396,1697021411,,,,,
actix-web-mongodb,18.56ms,1.10ms,20.90ms,408164,1697022393,1697022408,,,,,
actix-web-mongodb,87.18ms,5.68ms,95.13ms,86795,1697022410,1697022425,,,,,
actix-web-mongodb,180.93ms,13.97ms,196.11ms,41656,1697022427,1697022442,,,,,
actix-web-mongodb,265.31ms,21.14ms,281.86ms,28423,1697022444,1697022459,,,,,
actix-web-mongodb,355.56ms,29.94ms,374.90ms,21056,1697022461,1697022476,,,,,
actix-web-pg-deadpool,5.52ms,367.32us,13.66ms,1374390,1697023271,1697023286,,,,,
actix-web-pg-deadpool,34.46ms,6.32ms,61.99ms,219782,1697023288,1697023303,,,,,
actix-web-pg-deadpool,63.85ms,8.12ms,93.67ms,118504,1697023305,1697023320,,,,,
actix-web-pg-deadpool,95.85ms,8.73ms,122.62ms,78884,1697023322,1697023337,,,,,
actix-web-pg-deadpool,149.26ms,15.74ms,183.27ms,50670,1697023339,1697023354,,,,,
agoo,8.61ms,2.12ms,17.71ms,881506,1697024098,1697024113,,,,,
agoo,26.78ms,8.19ms,69.37ms,283194,1697024115,1697024130,,,,,
agoo,50.58ms,13.38ms,121.88ms,149842,1697024132,1697024147,,,,,
agoo,79.91ms,22.84ms,190.91ms,94792,1697024149,1697024164,,,,,
agoo,111.84ms,35.71ms,292.25ms,67728,1697024166,1697024181,,,,,
aiohttp,31.85ms,12.75ms,248.56ms,239026,1697025004,1697025019,,,,,
aiohttp,81.56ms,34.84ms,412.22ms,93062,1697025021,1697025036,,,,,
aiohttp,140.21ms,59.35ms,619.52ms,54268,1697025038,1697025053,,,,,
aiohttp,195.85ms,76.92ms,513.52ms,38484,1697025055,1697025071,,,,,
aiohttp,258.96ms,121.52ms,1.12s,29644,1697025073,1697025088,,,,,
aiohttp-pg-raw,12.09ms,2.61ms,47.75ms,628132,1697025647,1697025662,,,,,
aiohttp-pg-raw,19.14ms,5.29ms,151.04ms,397007,1697025664,1697025679,,,,,
aiohttp-pg-raw,28.90ms,7.32ms,255.60ms,262947,1697025681,1697025696,,,,,
aiohttp-pg-raw,37.47ms,11.07ms,355.55ms,202832,1697025698,1697025714,,,,,
aiohttp-pg-raw,45.70ms,9.95ms,314.89ms,166209,1697025716,1697025731,,,,,
aioworkers,9.21ms,3.55ms,63.18ms,835041,1697026473,1697026488,,,,,
aioworkers,16.44ms,7.70ms,179.75ms,467006,1697026490,1697026506,,,,,
aioworkers,25.08ms,9.51ms,164.57ms,303615,1697026508,1697026523,,,,,
aioworkers,33.11ms,14.50ms,223.25ms,232792,1697026525,1697026540,,,,,
aioworkers,39.87ms,15.26ms,205.79ms,190689,1697026542,1697026557,,,,,
akka-http,5.88ms,25.28ms,668.95ms,2007514,1697027611,1697027626,,,,,
akka-http,12.58ms,8.23ms,325.83ms,628589,1697027628,1697027644,,,,,
