frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
aspcore-ado-my,14.65ms,15.29ms,222.51ms,591567.0,1697041924,1697041939,,,,,
aspcore-ado-my,56.97ms,31.72ms,328.26ms,138870.0,1697041941,1697041956,,,,,
aspcore-ado-my,106.89ms,34.43ms,342.71ms,71302.0,1697041958,1697041973,,,,,
aspcore-ado-my,217.53ms,209.89ms,1.67s,41797.0,1697041975,1697041990,,,,,
aspcore-ado-my,195.87ms,36.76ms,407.37ms,38420.0,1697041992,1697042007,,,,,
aspcore-ado-pg-up,3.28ms,2.86ms,70.66ms,2462870.0,1697043022,1697043037,,,,,
aspcore-ado-pg-up,8.69ms,4.76ms,67.39ms,899962.0,1697043039,1697043054,,,,,
aspcore-ado-pg-up,14.90ms,6.16ms,52.73ms,510529.0,1697043056,1697043072,,,,,
aspcore-ado-pg-up,21.45ms,9.05ms,83.76ms,354539.0,1697043074,1697043089,,,,,
aspcore-ado-pg-up,28.25ms,11.65ms,94.26ms,268997.0,1697043091,1697043106,,,,,
aspcore-aot-ado-pg-up,3.28ms,2.57ms,55.97ms,2440920.0,1697046498,1697046513,,,,,
aspcore-aot-ado-pg-up,8.62ms,4.36ms,68.50ms,900908.0,1697046515,1697046530,,,,,
aspcore-aot-ado-pg-up,14.85ms,6.03ms,56.13ms,512046.0,1697046532,1697046547,,,,,
aspcore-aot-ado-pg-up,21.28ms,8.80ms,77.99ms,357345.0,1697046549,1697046564,,,,,
aspcore-aot-ado-pg-up,27.86ms,11.67ms,98.33ms,272957.0,1697046566,1697046581,,,,,
aspcore-mono-mvc-pg,62.77ms,22.93ms,384.96ms,121879.0,1697047946,1697047961,,,,,
aspcore-mono-mvc-pg,69.20ms,28.86ms,364.66ms,110402.0,1697047963,1697047978,,,,,
aspcore-mono-mvc-pg,80.71ms,18.95ms,362.24ms,94308.0,1697047980,1697047996,,,,,
aspcore-mono-mvc-pg,102.88ms,21.17ms,407.05ms,73766.0,1697047998,1697048013,,,,,
aspcore-mono-mvc-pg,123.52ms,18.65ms,352.62ms,61211.0,1697048015,1697048030,,,,,
aspcore-mono-mw-pg,31.04ms,12.09ms,222.77ms,245595.0,1697049426,1697049441,,,,,
aspcore-mono-mw-pg,44.26ms,11.83ms,261.04ms,172185.0,1697049443,1697049458,,,,,
aspcore-mono-mw-pg,66.61ms,12.54ms,270.88ms,113836.0,1697049460,1697049475,,,,,
aspcore-mono-mw-pg,85.08ms,15.14ms,305.04ms,89069.0,1697049477,1697049492,,,,,
aspcore-mono-mw-pg,108.48ms,20.63ms,366.25ms,69795.0,1697049494,1697049509,,,,,
aspcore-mono-pg,11.11ms,7.30ms,97.70ms,703339.0,1697050153,1697050168,,,,,
aspcore-mono-pg,25.72ms,10.25ms,121.52ms,295386.0,1697050170,1697050185,,,,,
aspcore-mono-pg,44.08ms,13.83ms,204.97ms,172489.0,1697050187,1697050203,,,,,
aspcore-mono-pg,63.45ms,20.36ms,238.10ms,120075.0,1697050205,1697050220,,,,,
aspcore-mono-pg,81.85ms,23.12ms,250.57ms,92761.0,1697050222,1697050237,,,,,
aspcore-mvc-ado-my,26.19ms,57.30ms,852.20ms,517543.0,1697051116,1697051131,,,,,
aspcore-mvc-ado-my,51.59ms,21.62ms,257.25ms,149857.0,1697051133,1697051148,,,,,
aspcore-mvc-ado-my,101.92ms,30.17ms,347.37ms,74757.0,1697051150,1697051165,,,,,
aspcore-mvc-ado-my,231.04ms,276.34ms,1.71s,43825.0,1697051167,1697051182,,,,,
aspcore-mvc-ado-my,201.15ms,45.93ms,466.03ms,37501.0,1697051184,1697051199,,,,,
aspcore-mvc-ado-pg-up,3.56ms,2.55ms,59.47ms,2266775.0,1697051981,1697051996,,,,,
aspcore-mvc-ado-pg-up,9.90ms,4.65ms,67.32ms,794473.0,1697051998,1697052013,,,,,
aspcore-mvc-ado-pg-up,16.41ms,2.61ms,40.36ms,462124.0,1697052015,1697052030,,,,,
aspcore-mvc-ado-pg-up,23.89ms,3.10ms,64.25ms,317615.0,1697052032,1697052047,,,,,
aspcore-mvc-ado-pg-up,31.34ms,3.55ms,77.01ms,241869.0,1697052049,1697052064,,,,,
aspcore-mvc-dap-my,35.16ms,106.00ms,878.65ms,520139.0,1697052494,1697052509,,,,,
aspcore-mvc-dap-my,58.17ms,24.56ms,280.66ms,132154.0,1697052511,1697052526,,,,,
aspcore-mvc-dap-my,113.48ms,33.47ms,364.85ms,67060.0,1697052528,1697052543,,,,,
aspcore-mvc-dap-my,169.82ms,43.42ms,427.46ms,44313.0,1697052545,1697052560,,,,,
aspcore-mvc-dap-my,267.34ms,181.70ms,1.39s,31048.0,1697052562,1697052577,,,,,
aspcore-mvc-dap-pg-up,3.56ms,2.16ms,51.14ms,2230181.0,1697053362,1697053377,,,,,
aspcore-mvc-dap-pg-up,9.87ms,4.22ms,68.40ms,788684.0,1697053379,1697053394,,,,,
aspcore-mvc-dap-pg-up,16.60ms,3.04ms,57.79ms,456913.0,1697053396,1697053411,,,,,
aspcore-mvc-dap-pg-up,23.76ms,3.36ms,60.06ms,318922.0,1697053413,1697053428,,,,,
aspcore-mvc-dap-pg-up,31.29ms,4.02ms,86.54ms,242170.0,1697053430,1697053446,,,,,
aspcore-mw-ado-my,15.83ms,17.60ms,217.38ms,570262.0,1697054568,1697054583,,,,,
aspcore-mw-ado-my,54.02ms,25.90ms,286.36ms,144054.0,1697054585,1697054601,,,,,
aspcore-mw-ado-my,106.44ms,35.26ms,363.17ms,71808.0,1697054603,1697054618,,,,,
aspcore-mw-ado-my,160.61ms,41.64ms,416.11ms,42721.0,1697054620,1697054635,,,,,
aspcore-mw-ado-my,202.72ms,43.59ms,478.20ms,37218.0,1697054637,1697054652,,,,,
aspcore-mw-ado-pg-up,3.41ms,2.58ms,63.25ms,2363849.0,1697055437,1697055452,,,,,
aspcore-mw-ado-pg-up,9.17ms,2.36ms,55.94ms,831145.0,1697055454,1697055469,,,,,
aspcore-mw-ado-pg-up,16.37ms,2.39ms,35.45ms,462859.0,1697055471,1697055486,,,,,
aspcore-mw-ado-pg-up,23.72ms,3.09ms,56.31ms,319607.0,1697055488,1697055503,,,,,
aspcore-mw-ado-pg-up,31.14ms,3.59ms,73.88ms,243455.0,1697055505,1697055521,,,,,
aspcore-mw-dap-my,18.99ms,31.82ms,430.64ms,547465.0,1697055947,1697055963,,,,,
aspcore-mw-dap-my,58.04ms,24.36ms,288.51ms,132440.0,1697055965,1697055980,,,,,
aspcore-mw-dap-my,114.10ms,32.58ms,348.25ms,66628.0,1697055982,1697055997,,,,,
aspcore-mw-dap-my,171.63ms,44.50ms,481.94ms,44076.0,1697055999,1697056014,,,,,
aspcore-mw-dap-my,270.24ms,186.69ms,1.44s,30849.0,1697056016,1697056031,,,,,
aspcore-mw-dap-pg-up,3.35ms,2.08ms,50.80ms,2357284.0,1697056814,1697056829,,,,,
aspcore-mw-dap-pg-up,9.35ms,2.76ms,50.70ms,818411.0,1697056831,1697056847,,,,,
aspcore-mw-dap-pg-up,16.45ms,2.82ms,48.86ms,461218.0,1697056849,1697056864,,,,,
aspcore-mw-dap-pg-up,23.76ms,3.54ms,66.18ms,319390.0,1697056866,1697056881,,,,,
aspcore-mw-dap-pg-up,31.10ms,3.72ms,75.68ms,243759.0,1697056883,1697056898,,,,,
aspcore-vb-mw-ado-my,19.40ms,31.71ms,511.18ms,548325.0,1697058364,1697058379,,,,,
aspcore-vb-mw-ado-my,58.07ms,24.47ms,298.45ms,132728.0,1697058381,1697058396,,,,,
aspcore-vb-mw-ado-my,108.74ms,23.97ms,224.57ms,69554.0,1697058398,1697058413,,,,,
aspcore-vb-mw-ado-my,170.69ms,46.37ms,450.96ms,44273.0,1697058415,1697058430,,,,,
aspcore-vb-mw-ado-my,245.90ms,117.63ms,1.04s,32065.0,1697058432,1697058447,,,,,
aspcore-vb-mw-ado-pg,5.40ms,5.00ms,87.39ms,1637357.0,1697058988,1697059003,,,,,
aspcore-vb-mw-ado-pg,16.12ms,11.93ms,198.28ms,507937.0,1697059005,1697059021,,,,,
aspcore-vb-mw-ado-pg,38.61ms,42.13ms,761.11ms,249976.0,1697059023,1697059038,,,,,
aspcore-vb-mw-ado-pg,84.72ms,129.53ms,2.42s,140199.0,1697059040,1697059055,,,,,
aspcore-vb-mw-ado-pg,193.07ms,388.02ms,4.61s,93553.0,1697059057,1697059072,,,,,
