frameworks,latencyAvg,latencyStdev,latencyMax,totalRequests,startTime,endTime,5xx,connect,read,write,timeout
act-eclipselink-mysql,23.47ms,16.09ms,254.32ms,346576.0,1697013303,1697013318,,,,,
act-eclipselink-mysql,69.03ms,32.39ms,417.72ms,112701.0,1697013320,1697013335,,,,,
act-eclipselink-mysql,127.22ms,34.98ms,430.96ms,59473.0,1697013337,1697013352,,,,,
act-eclipselink-mysql,196.86ms,44.65ms,465.46ms,38295.0,1697013354,1697013370,,,,,
act-eclipselink-mysql,252.67ms,48.49ms,487.77ms,29783.0,1697013372,1697013387,,,,,
act-hibernate-pgsql,31.81ms,12.68ms,167.11ms,240326.0,1697017733,1697017748,,,,,
act-hibernate-pgsql,114.81ms,26.56ms,332.39ms,65850.0,1697017750,1697017765,,,,,
act-hibernate-pgsql,212.45ms,37.35ms,613.19ms,35478.0,1697017767,1697017782,,,,,
act-hibernate-pgsql,319.01ms,50.13ms,806.80ms,23539.0,1697017784,1697017800,,,,,
act-hibernate-pgsql,414.90ms,59.64ms,1.04s,18022.0,1697017802,1697017817,,,,,
actix-http,3.36ms,3.04ms,62.28ms,2417793.0,1697019793,1697019808,,,,,
actix-http,9.78ms,4.15ms,70.87ms,800317.0,1697019810,1697019825,,,,,
actix-http,16.89ms,2.06ms,27.56ms,448710.0,1697019827,1697019843,,,,,
actix-http,24.55ms,2.57ms,36.51ms,308668.0,1697019845,1697019860,,,,,
actix-http,32.25ms,3.58ms,48.29ms,234873.0,1697019862,1697019877,,,,,
actix-web-diesel,7.50ms,419.52us,19.27ms,1011834.0,1697021444,1697021459,,,,,
actix-web-diesel,28.44ms,1.31ms,49.13ms,266380.0,1697021461,1697021476,,,,,
actix-web-diesel,54.66ms,2.63ms,80.04ms,138603.0,1697021478,1697021493,,,,,
actix-web-diesel,82.32ms,5.91ms,144.43ms,91911.0,1697021495,1697021511,,,,,
actix-web-diesel,112.87ms,8.67ms,199.37ms,66966.0,1697021513,1697021528,,,,,
actix-web-mongodb,36.92ms,2.56ms,42.13ms,205160.0,1697022509,1697022524,,,,,
actix-web-mongodb,110.76ms,5.32ms,121.51ms,68283.0,1697022526,1697022541,,,,,
actix-web-mongodb,208.42ms,7.98ms,226.25ms,36092.0,1697022543,1697022558,,,,,
actix-web-mongodb,302.72ms,11.34ms,326.55ms,24777.0,1697022560,1697022576,,,,,
actix-web-mongodb,399.58ms,15.21ms,470.71ms,18710.0,1697022578,1697022593,,,,,
actix-web-pg-deadpool,11.48ms,700.92us,22.77ms,660555.0,1697023387,1697023402,,,,,
actix-web-pg-deadpool,34.84ms,1.98ms,73.39ms,217491.0,1697023404,1697023419,,,,,
actix-web-pg-deadpool,66.84ms,3.17ms,100.72ms,113340.0,1697023421,1697023436,,,,,
actix-web-pg-deadpool,103.46ms,6.26ms,136.63ms,73135.0,1697023438,1697023454,,,,,
actix-web-pg-deadpool,153.01ms,9.23ms,193.67ms,49403.0,1697023456,1697023471,,,,,
agoo,12.89ms,3.73ms,38.08ms,588913.0,1697024214,1697024229,,,,,
agoo,33.05ms,8.52ms,88.05ms,229546.0,1697024231,1697024246,,,,,
agoo,90.32ms,137.39ms,1.14s,116723.0,1697024248,1697024263,1.0,,,,
agoo,166.28ms,201.13ms,1.19s,63648.0,1697024265,1697024281,2.0,,,,
agoo,292.80ms,287.15ms,1.34s,34371.0,1697024283,1697024298,4.0,,,,
aiohttp-pg-raw,14.00ms,4.38ms,83.51ms,542669.0,1697025763,1697025779,,,,,
aiohttp-pg-raw,26.39ms,10.57ms,168.96ms,289335.0,1697025781,1697025796,,,,,
aiohttp-pg-raw,48.55ms,41.14ms,586.13ms,176823.0,1697025798,1697025813,,,,,
aiohttp-pg-raw,103.61ms,145.56ms,2.20s,104411.0,1697025815,1697025830,,,,,
aiohttp-pg-raw,249.20ms,625.04ms,7.85s,65001.0,1697025832,1697025847,,0.0,0.0,0.0,17.0
akka-http,21.22ms,41.93ms,442.72ms,553885.0,1697027728,1697027743,,,,,
akka-http,65.33ms,24.01ms,264.39ms,117654.0,1697027745,1697027760,,,,,
akka-http,128.41ms,31.15ms,315.53ms,58997.0,1697027762,1697027777,,,,,
akka-http,230.77ms,166.87ms,1.34s,36393.0,1697027779,1697027794,,,,,
akka-http,263.29ms,68.30ms,674.74ms,28709.0,1697027796,1697027812,,,,,
aleph,3.84ms,0.95ms,22.09ms,1977409.0,1697029400,1697029415,,,,,
aleph,20.14ms,6.98ms,130.63ms,383068.0,1697029417,1697029432,,,,,
aleph,38.16ms,3.86ms,75.24ms,198621.0,1697029434,1697029449,,,,,
aleph,57.03ms,4.43ms,80.93ms,132810.0,1697029451,1697029466,,,,,
aleph,76.08ms,5.42ms,101.87ms,99488.0,1697029468,1697029483,,,,,
amber,294.54ms,427.88ms,2.02s,178001.0,1697030383,1697030398,,,,,
amber,610.45ms,889.42ms,6.03s,50685.0,1697030400,1697030415,,,,,
amber,957.75ms,1.39s,7.07s,26423.0,1697030417,1697030432,,,,,
amber,995.64ms,1.44s,7.08s,17507.0,1697030434,1697030449,,0.0,0.0,0.0,38.0
amber,1.10s,1.58s,7.10s,12962.0,1697030451,1697030467,,0.0,0.0,0.0,34.0
angel3,46.58ms,50.84ms,344.17ms,208669.0,1697032954,1697032969,,,,,
angel3,130.83ms,98.56ms,593.56ms,60328.0,1697032971,1697032986,,,,,
angel3,250.79ms,253.57ms,1.47s,38027.0,1697032988,1697033003,,,,,
angel3,784.03ms,1.03s,6.31s,7740.0,1697033005,1697033021,,,,,
angel3,711.83ms,869.63ms,7.41s,5029.0,1697033023,1697033038,,0.0,0.0,0.0,118.0
apidaora,12.92ms,4.60ms,71.22ms,588521.0,1697034499,1697034514,,,,,
apidaora,31.82ms,9.19ms,156.38ms,238511.0,1697034516,1697034531,,,,,
apidaora,52.66ms,16.36ms,222.19ms,143940.0,1697034533,1697034548,,,,,
apidaora,72.37ms,21.41ms,273.88ms,104740.0,1697034550,1697034565,,,,,
apidaora,89.71ms,31.19ms,412.16ms,84344.0,1697034567,1697034582,,,,,
apidaora-core,12.35ms,4.54ms,96.52ms,617804.0,1697035518,1697035534,,,,,
apidaora-core,32.10ms,13.10ms,195.27ms,237879.0,1697035536,1697035551,,,,,
apidaora-core,52.16ms,19.61ms,221.00ms,145504.0,1697035553,1697035568,,,,,
apidaora-core,71.93ms,23.09ms,295.34ms,105562.0,1697035570,1697035585,,,,,
apidaora-core,90.17ms,30.10ms,335.49ms,83956.0,1697035587,1697035602,,,,,
appmpower-ado-pg,3.37ms,4.09ms,85.25ms,2512797.0,1697037429,1697037444,,,,,
appmpower-ado-pg,9.75ms,3.79ms,70.85ms,796509.0,1697037446,1697037461,,,,,
appmpower-ado-pg,17.36ms,2.58ms,62.61ms,437353.0,1697037463,1697037478,,,,,
appmpower-ado-pg,25.16ms,3.23ms,74.90ms,301507.0,1697037480,1697037495,,,,,
appmpower-ado-pg,32.73ms,3.57ms,79.01ms,231549.0,1697037497,1697037512,,,,,
appmpower-odbc-my,16.93ms,30.89ms,348.33ms,673813.0,1697038559,1697038575,,,,,
appmpower-odbc-my,51.64ms,24.28ms,222.26ms,151720.0,1697038577,1697038592,,,,,
appmpower-odbc-my,101.84ms,34.17ms,307.02ms,74833.0,1697038594,1697038609,,,,,
appmpower-odbc-my,214.73ms,217.66ms,1.53s,43106.0,1697038611,1697038626,,,,,
appmpower-odbc-my,225.00ms,67.18ms,525.67ms,33318.0,1697038628,1697038643,,,,,
appmpower-odbc-pg,4.22ms,3.54ms,50.57ms,1953773.0,1697039672,1697039688,,,,,
appmpower-odbc-pg,11.89ms,5.84ms,79.21ms,662120.0,1697039690,1697039705,,,,,
appmpower-odbc-pg,20.70ms,7.19ms,85.47ms,370854.0,1697039707,1697039722,,,,,
appmpower-odbc-pg,29.51ms,8.74ms,98.93ms,257634.0,1697039724,1697039739,,,,,
appmpower-odbc-pg,37.99ms,11.11ms,113.91ms,199716.0,1697039741,1697039756,,,,,
armeria,18.84ms,5.76ms,89.40ms,403611.0,1697040943,1697040958,,,,,
armeria,98.08ms,26.31ms,385.48ms,77163.0,1697040960,1697040975,,,,,
armeria,200.75ms,31.70ms,503.41ms,37547.0,1697040977,1697040992,,,,,
armeria,300.84ms,40.48ms,637.71ms,24972.0,1697040994,1697041009,,,,,
armeria,392.87ms,51.79ms,869.64ms,19062.0,1697041011,1697041026,,,,,
aspcore-ado-my,14.65ms,15.29ms,222.51ms,591567.0,1697041924,1697041939,,,,,
aspcore-ado-my,56.97ms,31.72ms,328.26ms,138870.0,1697041941,1697041956,,,,,
aspcore-ado-my,106.89ms,34.43ms,342.71ms,71302.0,1697041958,1697041973,,,,,
